id,cue,reporter,age_group,text_kw,author,label
591,Says the bleeding started after taking herbs to end a pregnancy,Self,Ingimbi/Umwangavu,Avuga ko kuva amaraso byatangiye nyuma yo kunywa imiti gakondo yo gukuramo inda.,,CRITICAL
592,Came to ask whether the family can be tested after a death at home,Self,Umuntu mukuru,Yaje kubaza niba umuryango ushobora kwisuzumisha nyuma y'urupfu rwabereye mu rugo.,,ROUTINE
593,Says the wound is from a bullet and he will not say more,Self,Umuntu mukuru,Avuga ko igikomere cyatewe n'amasasu kandi adashaka kugira ibindi avuga.,,CRITICAL
594,Child has been breathing with a whistling sound since a cold,Carer,Umwana,Umwana amaze guhumeka asohora urusaku rumeze nk'urusiferi kuva arwara ibicurane.,,URGENT
595,Says his skin has turned yellow and he feels nothing else,Self,Umuntu mukuru,Avuga ko uruhu rwe rwahindutse umuhondo ariko nta kindi yumva.,,URGENT
596,Woman says her baby's arm was injured during the delivery,Carer,Impinja,Umugore avuga ko ukuboko k'uruhinja kwe kwakomeretse igihe yarubyazaga.,,ROUTINE
597,Says he has been having pain in the chest only when angry,Self,Umuntu mukuru,Avuga ko ababara mu gituza gusa iyo arakaye.,,URGENT
598,Has been sent by the prison to be examined,Self,Umuntu mukuru,Yoherejwe n'igereza kugira ngo asuzumwe.,,CANNOT CLASSIFY
599,Says the child has been squinting since he was small,Carer,Umwana,Avuga ko umwana amaze igihe ahumbiranya amaso kuva akiri muto.,,ROUTINE
600,Came to ask what to do with the leftover tablets,Self,Umuntu mukuru,Yaje kubaza icyo yakora ku miti yasigaye.,,ROUTINE
601,Says her breast has a dimple in the skin she noticed last month,Self,Umuntu mukuru,Avuga ko ku ibere hari ahantu hameze nk'ahagwa imbere mu ruhu yabonye ukwezi gushize.,,ROUTINE
602,Man says he cannot straighten his back after working bent all day,Self,Umuntu mukuru,Umugabo avuga ko adashobora kurambura umugongo nyuma yo gukora yunamye umunsi wose.,,ROUTINE
603,Says the child has been passing urine very often and wetting the bed again,Carer,Umwana,Avuga ko umwana amaze kwihagarika kenshi kandi yongeye kwinyarira mu buriri.,,URGENT
604,Has a wound on the leg that bleeds whenever it is knocked,Self,Umusaza/Umukecuru,Afite igikomere ku kuguru kivamo amaraso buri gihe gikubisweho.,,ROUTINE
605,Says she has been having fits since she was a child,Self,Ingimbi/Umwangavu,Avuga ko amaze kugira ibicuri kuva akiri umwana.,,ROUTINE
606,Came because the child was bitten by another child at school,Carer,Umwana,Yaje kuko umwana yarumwe n'undi mwana ku ishuri.,,ROUTINE
607,Says the pain in the belly is constant and he cannot lie flat,Self,Umuntu mukuru,Avuga ko ububabare bwo mu nda budahagarara kandi adashobora kuryama arambuye.,,URGENT
608,Woman says she has been told she has twins and is worried,Self,Umuntu mukuru,Umugore avuga ko yabwiwe ko atwite impanga kandi akaba afite impungenge.,,ROUTINE
609,Says his hand was burnt by electricity while fixing a wire,Self,Umuntu mukuru,Avuga ko amashanyarazi yamutwitse ukuboko ubwo yakoraga ku nsinga.,,URGENT
610,Child has a swelling on the ankle that started without injury,Carer,Umwana,Umwana afite kubyimba ku kaguru hafi y'ikirenge byatangiye nta gikomere.,,URGENT
611,Says the medicine finished a month ago and he did not come back,Self,Umuntu mukuru,Avuga ko imiti yamushizeho ukwezi gushize ariko ntiyagaruka.,,ROUTINE
612,Has been feeling heat in the chest and a sour taste at night,Self,Umuntu mukuru,Amaze kumva ubushyuhe mu gituza n'uburyohe busharira mu kanwa nijoro.,,ROUTINE
613,Says the baby has a lump on the neck since birth,Carer,Impinja,Avuga ko uruhinja rufite ikibyimba mu ijosi kuva ruvuka.,,ROUTINE
614,Man says a cow horn went into his thigh,Self,Umuntu mukuru,Umugabo avuga ko ihembe ry'inka ryamwinjiye mu itako.,,CRITICAL
615,Says she has been bleeding for three weeks without stopping,Self,Umuntu mukuru,Avuga ko amaze ibyumweru bitatu ava amaraso adahagarara.,,URGENT
616,Came to ask whether the child should be tested after the mother's diagnosis,Carer,Umwana,Yaje kubaza niba umwana agomba kwisuzumisha nyuma y'uko nyina asanzwemo indwara.,,ROUTINE
617,Says the pain in the side comes with fever and shaking,Self,Umuntu mukuru,Avuga ko ububabare bwo ku ruhande bujyana n'umuriro no gutitira.,,URGENT
618,Child has been unable to swallow since eating hot food,Carer,Umwana,Umwana amaze kutabasha kumira kuva yariye ibiryo bishyushye.,,URGENT
619,Says his foot has a hole that goes deep and does not hurt,Self,Umusaza/Umukecuru,Avuga ko ku kirenge afite umwobo winjira cyane kandi utamubabaza.,,ROUTINE
620,Woman says she has not been able to conceive after two years,Self,Umuntu mukuru,Umugore avuga ko amaze imyaka ibiri adashobora gusama.,,ROUTINE
621,Says the child was normal and has stopped speaking in the last months,Carer,Umwana,Avuga ko umwana yari asanzwe ameze neza ariko mu mezi ashize akaba yararetse kuvuga.,,ROUTINE
622,Has been told his liver is enlarged and wants to know what it means,Self,Umuntu mukuru,Yabwiwe ko umwijima we munini kandi ashaka kumenya icyo bivuze.,,ROUTINE
623,Says the pain came after a long walk and has not eased in days,Self,Umusaza/Umukecuru,Avuga ko ububabare bwatangiye nyuma yo kugenda urugendo rurerure kandi bumaze iminsi butagabanuka.,,CANNOT CLASSIFY
624,Came because the health worker found the child's weight dropping,Carer,Umwana,Yaje kuko umukozi w'ubuzima yasanze ibiro by'umwana biri kugabanuka.,,URGENT
625,Says his throat closes when he eats fish,Self,Ingimbi/Umwangavu,Avuga ko umuhogo umufunga iyo ariye amafi.,,URGENT
626,Child has a bruised eye and the mother says he fell from the bed,Carer,Impinja,Umwana afite ijisho ryakomeretse kandi nyina avuga ko yaguye ku buriri.,,URGENT
627,Says she has been feeling a heaviness in the chest since the birth,Self,Umuntu mukuru,Avuga ko amaze kumva uburemere mu gituza kuva yabyara.,,URGENT
628,Man says a tree fell on his leg while cutting firewood,Carer,Umuntu mukuru,Umugabo avuga ko igiti cyamuguye ku kuguru ubwo yatemaga inkwi.,,CRITICAL
629,Says the child's belly is hard and he has not passed gas,Carer,Umwana,Avuga ko inda y'umwana ikomeye kandi akaba atarasohora umwuka mu nda.,,CRITICAL
630,Has been sent from the health post because they have no supplies,Self,Umuntu mukuru,Yoherejwe avuye ku ivuriro rito kuko nta bikoresho cyangwa imiti bafite.,,CANNOT CLASSIFY
631,Says her periods stopped a year ago and have now returned,Self,Umusaza/Umukecuru,Avuga ko imihango yahagaze umwaka ushize ariko ubu ikaba yongeye kugaruka.,,ROUTINE
632,Came to ask whether it is safe to fast with his condition,Self,Umuntu mukuru,Yaje kubaza niba ari byiza gusiba kurya afite iki kibazo cy'ubuzima.,,ROUTINE
633,Says the child has had a cough since being born prematurely,Carer,Impinja,Avuga ko umwana akorora kuva yavuka imburagihe.,,ROUTINE
634,Has a sore that has been there for six months and does not heal,Self,Umusaza/Umukecuru,Afite igisebe kimaze amezi atandatu kandi kitakira.,,ROUTINE
635,Says he has been having pain in the heel every morning,Self,Umuntu mukuru,Avuga ko buri gitondo ababara ku gatsinsino.,,ROUTINE
636,Woman says she has a headache and the tablets no longer help,Self,Umuntu mukuru,Umugore avuga ko arwaye umutwe kandi imiti itakimufasha.,,ROUTINE
637,Says the child was bitten by a snake and the family applied herbs,Carer,Umwana,Avuga ko umwana yarumwe n'inzoka maze umuryango ukamushyiraho imiti gakondo.,,CRITICAL
638,Came for a certificate after an accident for an insurance claim,Self,Umuntu mukuru,Yaje gufata icyemezo nyuma y'impanuka kugira ngo agisabeho ubwishingizi.,,ROUTINE
639,Says he has been passing blood clots in the urine,Self,Umusaza/Umukecuru,Avuga ko asohora uturemangingo tw'amaraso mu nkari.,,URGENT
640,Child has been coughing and the lips turned blue briefly,Carer,Impinja,Umwana amaze gukorora kandi iminwa ye ikamara akanya ihinduka ubururu.,,CRITICAL
641,Says the wound was stitched elsewhere and the thread is showing,Self,Umuntu mukuru,Avuga ko igikomere cyadodewe ahandi kandi urudodo rukaba ruri kugaragara.,,ROUTINE
642,Has been feeling anxious and cannot explain why,Self,Ingimbi/Umwangavu,Amaze kumva ahangayitse ariko ntazi impamvu.,,ROUTINE
643,Says the pain is in the lower back on one side and moves to the groin,Self,Umuntu mukuru,Avuga ko ababara mu mugongo wo hasi ku ruhande rumwe kandi ububabare bukagera mu ihina.,,URGENT
644,Woman says she has been told to come for a caesarean and has no transport,Self,Umuntu mukuru,Umugore avuga ko yabwiwe kuza kubagwa ariko akaba nta buryo bwo gutwara afite.,,URGENT
645,Says his son has been drinking and he does not know what to do,Carer,Ingimbi/Umwangavu,Avuga ko umuhungu we anywa inzoga kandi akaba atazi icyo yakora.,,ROUTINE
646,Came to ask whether the swelling in the child's neck is mumps,Carer,Umwana,Yaje kubaza niba kubyimba mu ijosi k'umwana ari amasururu.,,ROUTINE
647,Says the burning in the feet is worse since the tablets changed,Self,Umusaza/Umukecuru,Avuga ko gushya mu birenge byiyongereye kuva imiti yahinduka.,,ROUTINE
648,Child fell and has a tooth pushed up into the gum,Carer,Umwana,Umwana yaguye maze iryinyo rimwe rijya imbere mu ishinya.,,URGENT
649,Says he has had three episodes of chest pain this week,Self,Umuntu mukuru,Avuga ko muri iki cyumweru yagize ububabare bwo mu gituza inshuro eshatu.,,URGENT
650,Has been told she must deliver in hospital and wants to know why,Self,Umuntu mukuru,Yabwiwe ko agomba kubyarira ku bitaro kandi ashaka kumenya impamvu.,,ROUTINE
651,Says the child has been hot and refusing to be touched,Carer,Impinja,Avuga ko umwana afite umuriro kandi yanga ko bamukoraho.,,URGENT
652,Man says his arm was caught in a conveyor at the factory,Carer,Umuntu mukuru,Umugabo avuga ko ukuboko kwe kwafashwe n'imashini itwara ibintu ku ruganda.,,CRITICAL
653,Says she has a discharge and her partner has symptoms too,Self,Ingimbi/Umwangavu,Avuga ko hari ibintu bidasanzwe bimusohokamo kandi uwo bashakanye na we afite ibimenyetso.,,ROUTINE
654,Came because the tablets ran out during a journey,Self,Umuntu mukuru,Yaje kuko imiti yamushizeho ari mu rugendo.,,ROUTINE
655,Says the swelling in the belly has grown over months and she is not pregnant,Self,Umuntu mukuru,Avuga ko kubyimba mu nda bimaze amezi byiyongera kandi atari atwite.,,ROUTINE
656,Child has been wheezing since moving to a house with a wood fire,Carer,Umwana,Umwana amaze guhumeka asohora urusaku kuva bimukiye mu nzu bacanamo inkwi.,,ROUTINE
657,Says he cannot see well at night and bumps into things,Self,Umwana,Avuga ko atabona neza nijoro kandi akagonga ibintu.,,ROUTINE
658,Woman says she was bleeding in early pregnancy and it has stopped,Self,Umuntu mukuru,Umugore avuga ko yavuye amaraso mu ntangiriro z'inda ariko ubu byarahagaze.,,ROUTINE
659,Says the pain in his jaw comes when he chews,Self,Umusaza/Umukecuru,Avuga ko ububabare bwo ku rwasaya bumufata iyo ari guhekenya.,,ROUTINE
660,Has a wound between the toes that will not dry,Self,Umuntu mukuru,Afite igikomere hagati y'amano y'ikirenge kituma.,,ROUTINE
661,Says the child has been scratching and the skin is now thick,Carer,Umwana,Avuga ko umwana amaze kwishimagura kandi uruhu rwarabyimbye rukaba rwarakomeye.,,ROUTINE
662,Came to ask whether he can return to heavy work after the hernia operation,Self,Umuntu mukuru,Yaje kubaza niba ashobora gusubira mu mirimo ivunanye nyuma yo kubagwa hernia.,,ROUTINE
663,Says she has been vomiting blood and thinks it is from the nose,Self,Umuntu mukuru,Avuga ko aruka amaraso kandi akeka ko ava mu mazuru.,,URGENT
664,Man says his hand was bitten while separating two dogs,Self,Umuntu mukuru,Umugabo avuga ko yarumwe ku kuboko ubwo yatandukanyaga imbwa ebyiri.,,URGENT
665,Says the child has a cough and the family has been treating with steam,Carer,Umwana,Avuga ko umwana akorora kandi umuryango ukaba umaze kumuvura umwuka w'amazi ashyushye.,,ROUTINE
666,Has been feeling cold all the time and gaining weight,Self,Umuntu mukuru,Amaze igihe yumva akonje buri gihe kandi arimo kwiyongera ibiro.,,ROUTINE
667,Says the pain in the eye started after a chemical splashed,Self,Umuntu mukuru,Avuga ko ijisho ryatangiye kubabara nyuma yo kurigeraho umuti wa shimi.,,CRITICAL
668,Woman says her baby is jaundiced and refusing to feed,Carer,Impinja,Umugore avuga ko uruhinja rwe rwahindutse umuhondo kandi rwanga konka cyangwa kurya.,,URGENT
669,Says he has been having pain in the stomach and black stool,Self,Umusaza/Umukecuru,Avuga ko aribwa mu nda kandi umwanda ukaba wirabura.,,URGENT
670,Came for advice because the child was diagnosed with sickle cell,Carer,Umwana,Yaje gusaba inama kuko umwana yasanzwemo indwara y'uturemangingo tw'amaraso dutoya.,,ROUTINE
671,Says the swelling under the jaw is painful when eating,Self,Umuntu mukuru,Avuga ko kubyimba munsi y'urwasaya bibabaza iyo ariye.,,ROUTINE
672,Child has been sleepy and vomiting since a fall from a wall,Carer,Umwana,Umwana amaze gusinzira cyane no kuruka kuva aguye ku rukuta.,,CRITICAL
673,Says she has been having flashbacks since the attack,Self,Umuntu mukuru,Avuga ko amaze kubona mu bitekerezo ibintu by'ibyabaye kuva yagabwaho igitero.,,ROUTINE
674,Has a growth on the eyelid that has been there for years,Self,Umusaza/Umukecuru,Afite ikibyimba ku gitsike cy'ijisho kimaze imyaka.,,ROUTINE
675,Says he cannot pass stool and vomits everything,Self,Umusaza/Umukecuru,Avuga ko adashobora kwituma kandi ibyo arya cyangwa anywa byose akabiruka.,,CRITICAL
676,Woman says her waters broke at seven months,Self,Umuntu mukuru,Umugore avuga ko amazi yo mu nda yasohotse afite inda y'amezi arindwi.,,URGENT
677,Says the child's hand was closed in a door,Carer,Umwana,Avuga ko ukuboko k'umwana kwafungiranywe mu rugi.,,ROUTINE
678,Came to ask whether the medicine can be crushed for an old parent,Carer,Umusaza/Umukecuru,Yaje kubaza niba umuti ushobora gusywa kugira ngo awuhe umubyeyi ugeze mu zabukuru.,,ROUTINE
679,Says he was bitten by a spider and the skin is dying around it,Self,Umuntu mukuru,Avuga ko yarumwe n'igitagangurirwa kandi uruhu ruzengurutse aho yarumwe rurimo kwangirika.,,URGENT
680,Has been having pain in the chest and a cough for three months,Self,Umuntu mukuru,Amaze amezi atatu afite ububabare mu gituza n'inkorora.,,ROUTINE
681,Says the child has not been able to bend the neck since morning,Carer,Umwana,Avuga ko kuva mu gitondo umwana atabasha kunama ijosi.,,URGENT
682,Man says his tablets were changed and now he feels worse,Self,Umusaza/Umukecuru,Umugabo avuga ko imiti yahinduwe none akaba yumva arushijeho kumera nabi.,,CANNOT CLASSIFY
683,Says she delivered twins at home and one is not moving well,Carer,Impinja,Avuga ko yabyariye impanga mu rugo kandi umwe muri bo atagenda neza.,,CRITICAL
684,Came because the school nurse saw something on the child's skin,Carer,Umwana,Yaje kuko umuforomokazi w'ishuri yabonye ikintu ku ruhu rw'umwana.,,CANNOT CLASSIFY
685,Says the pain in the belly button has been there since a lifting job,Self,Umuntu mukuru,Avuga ko ububabare bwo ku mukondo bwatangiye kuva akora akazi ko guterura ibintu.,,ROUTINE
686,Has been coughing and has lost his voice for a month,Self,Umusaza/Umukecuru,Amaze ukwezi akorora kandi ijwi ryarabuze.,,ROUTINE
687,Says the child has been turning blue when crying hard,Carer,Impinja,Avuga ko umwana ahinduka ubururu iyo arize cyane.,,URGENT
688,Woman says she has been bleeding since the injection for family planning,Self,Umuntu mukuru,Umugore avuga ko amaze kuva amaraso kuva yaterwa urushinge rwo kuboneza urubyaro.,,ROUTINE
689,Says his foot was cut by a hoe and he tied it with a banana leaf,Self,Umuntu mukuru,Avuga ko yakaswe ku kirenge n'isuka maze akizirikaho ikibabi cy'igitoki.,,URGENT
690,Came to ask about the results of the child's hearing test,Carer,Umwana,Yaje kubaza ibisubizo by'isuzuma ry'amatwi y'umwana.,,ROUTINE
691,Says he has been having pain in the neck since sleeping badly,Self,Umuntu mukuru,Avuga ko ijosi rimaze igihe rimubabaza kuva aryama nabi.,,ROUTINE
692,Child has a swelling on the head that is soft and growing,Carer,Impinja,Umwana afite kubyimba ku mutwe korohereye kandi gukomeza kwiyongera.,,URGENT
693,Says she has been unable to eat and has vomited for four days,Self,Umusaza/Umukecuru,Avuga ko amaze iminsi ine atabasha kurya kandi aruka.,,URGENT
694,Man says his eye was hit by a stone thrown in a crowd,Self,Ingimbi/Umwangavu,Umugabo avuga ko ibuye ryatewe mu bantu ryamukubise mu jisho.,,URGENT
695,Says the child has had a fever and is breathing fast and shallow,Carer,Umwana,Avuga ko umwana afite umuriro kandi ahumeka vuba kandi adahumeka cyane.,,URGENT
696,Has been told to come monthly and has missed three months,Self,Umuntu mukuru,Yabwiwe kuza buri kwezi ariko amaze amezi atatu ataza.,,ROUTINE
697,Says the wound on the leg was from a fall into a ditch in the rain,Self,Umuntu mukuru,Avuga ko igikomere cyo ku kuguru cyatewe no kugwa mu mwobo igihe cy'imvura.,,URGENT
698,Woman says her mother has been confused and not eating for a week,Carer,Umusaza/Umukecuru,Umugore avuga ko nyina amaze icyumweru atazi neza ibimukikije kandi atarya.,,URGENT
699,Says he has a pain in the chest and his father died of the heart,Self,Umuntu mukuru,Avuga ko afite ububabare mu gituza kandi se yapfuye azize indwara y'umutima.,,URGENT
700,Came only to ask a question and does not want to be examined,Self,Umuntu mukuru,Yaje gusa kubaza ikibazo kandi ntashaka ko bamusuzuma.,,ROUTINE
701,cough + blood + 2 weeks,Self,Umuntu mukuru,Maze ibyumweru bibiri nkorora kandi hari n'amaraso mbona mu byo nkorora.,,URGENT
702,child + hot + not feeding + 1 day,Carer,Impinja,Umwana afite umuriro kandi kuva ejo ntashaka konka cyangwa kurya.,,URGENT
703,chest pain + climbing hill + stops on rest,Self,Umusaza/Umukecuru,"Iyo ngiye kuzamuka umusozi ndababara mu gituza, nkabanza guhagarara bikagenda bigabanuka.",,URGENT
704,pregnant + no movement + since morning,Self,Umuntu mukuru,Ndatwite ariko kuva mu gitondo sinumva umwana yinyeganyeza.,,URGENT
705,refill + BP tablets + feels well,Self,Umusaza/Umukecuru,"Naje kongera imiti y'umuvuduko w'amaraso, ubu numva meze neza.",,ROUTINE
706,machete cut + hand + bleeding through cloth,Self,Umuntu mukuru,Nacishijweho umuhoro ku kuboko kandi amaraso aracyanyura mu mwenda napfutse.,,CRITICAL
707,burning urine + 3 days,Self,Umuntu mukuru,Maze iminsi itatu numva inkari zindya kandi zishya iyo nyihagaritse.,,ROUTINE
708,found collapsed + neighbour + brought in,Carer,Umuntu mukuru,"Yaguye hasi ataye ubwenge, umuturanyi ni we wamubonye akamuzana hano.",,CRITICAL
709,rash + arms + itchy + 2 days,Self,Ingimbi/Umwangavu,Maze iminsi ibiri mfite utubyimba ku maboko kandi turandya cyane.,,ROUTINE
710,headache + light hurts + won't stop,Self,Umuntu mukuru,"Umutwe urandya cyane kandi urumuri rurambabaza, ntibishaka guhagarara.",,URGENT
711,antenatal check + no complaints,Self,Umuntu mukuru,"Naje kwisuzumisha inda nk'uko bisanzwe, nta kibazo mfite.",,ROUTINE
712,child breathing fast + chest pulling in,Carer,Impinja,Umwana ahumeka vuba kandi mbona igituza cye kijya imbere iyo ahumeka.,,CRITICAL
713,knife cut + cooking + bleeding stopped,Self,Umuntu mukuru,"Niyaciye n'icyuma ndi guteka, ariko amaraso yahise ahagarara.",,URGENT
714,dizzy standing + tired weeks,Self,Umusaza/Umukecuru,Iyo mpagaze ndizungera kandi maze ibyumweru numva ndushye cyane.,,ROUTINE
715,diabetic + foot wound + smells,Self,Umusaza/Umukecuru,Mfite diyabete kandi mfite igisebe ku kirenge gitangiye kunuka.,,URGENT
716,father + confused since yesterday,Carer,Umusaza/Umukecuru,Data kuva ejo yatangiye kuvanga ibintu no kutamenya neza ibyo akora.,,URGENT
717,belly pain right side + vomited twice,Self,Ingimbi/Umwangavu,Ndababara mu nda ku ruhande rw'iburyo kandi namaze kuruka kabiri.,,URGENT
718,vaccination appointment,Carer,Impinja,Naje kuzana umwana ku isuzuma no guhabwa urukingo rwe.,,ROUTINE
719,swallowed something + can't speak,Carer,Umwana,Umwana yamize ikintu none ntashobora kuvuga.,,CRITICAL
720,back pain + lifted sack yesterday,Self,Umuntu mukuru,Ejo nazamuye umufuka uremereye none umugongo urandya.,,ROUTINE
721,watery stool + since morning + weak,Self,Umuntu mukuru,Kuva mu gitondo ngira impiswi z'amazi kandi natangiye gucika intege.,,URGENT
722,eye red + painful + blurry,Self,Umuntu mukuru,"Ijisho ryanjye ryatukuye, rirandya kandi mbona ibintu bitagaragara neza.",,URGENT
723,contractions started + waters broke,Self,Umuntu mukuru,Natangiye kugira ibise kandi amazi yo mu nda yamenetse.,,URGENT
724,HIV test + no symptoms,Self,Ingimbi/Umwangavu,Naje kwipimisha agakoko gatera SIDA nubwo nta bimenyetso mfite.,,ROUTINE
725,bead in ear + child,Carer,Umwana,Umwana yashyize agapira mu gutwi.,,ROUTINE
726,no sleep many days + hopeless,Self,Umuntu mukuru,Maze iminsi myinshi ntasinzira kandi numva nta cyizere mfite.,,URGENT
727,snake bite + leg + farming,Self,Umuntu mukuru,Narumwe n'inzoka ku kuguru ndi mu murima.,,URGENT
728,hot water burn + child + grandmother brought,Carer,Umwana,"Umwana yatwitswe n'amazi ashyushye, ni njye nyirakuru wamuzanye.",,URGENT
729,ankle twisted + football + can walk,Self,Ingimbi/Umwangavu,"Nakomerekeje akagombambari nkiri gukina umupira, ariko ndacyabasha kugenda.",,ROUTINE
730,tongue swollen + after new tablet,Self,Umuntu mukuru,Ururimi rwarabyimbye nyuma yo gufata umuti mushya.,,CRITICAL
731,child drank bottle under sink + unknown,Carer,Umwana,"Umwana yanyoye ku icupa ryari munsi y'urwogero, ariko sinzi icyo ryari ririmo.",,URGENT
732,soft swelling head + baby + not at birth,Carer,Impinja,"Umwana afite ahantu horoshye habyimbye ku mutwe, ariko ntibyari bihari akivuka.",,URGENT
733,pesticide + no mask + dizzy + drooling,Self,Umuntu mukuru,"Nateye umuti wica udukoko ntambaye agapfukamunwa, none ndazungera kandi amacandwe arava cyane.",,CRITICAL
734,urine strange colour + on tablets,Self,Umuntu mukuru,Inkari zanjye zahindutse ibara kandi ndimo gufata imiti.,,ROUTINE
735,arm won't straighten + fall last week,Carer,Umwana,Umwana ntashobora kugorora ukuboko kuva yagwa mu cyumweru gishize.,,URGENT
736,pain during sex + told nobody,Self,Umuntu mukuru,"Iyo nkoze imibonano mpuzabitsina ndababara, ariko nta muntu nari nabibwiye.",,ROUTINE
737,grandmother + doesn't recognise family,Carer,Umusaza/Umukecuru,Nyogokuru ntakimenya abo mu muryango.,,URGENT
738,cut + slaughtering goat + worried infection,Self,Umuntu mukuru,Niyaciye nkiri kubaga ihene kandi mfite impungenge ko igisebe cyandura.,,URGENT
739,child limping 2 weeks + no injury,Carer,Umwana,Umwana amaze ibyumweru bibiri agenda arega ukuguru kandi nta kintu twabonye cyamukomerekeje.,,URGENT
740,medicine works + can't afford monthly,Self,Umuntu mukuru,Uyu muti uramfasha ariko sinshobora kubona amafaranga yo kuwugura buri kwezi.,,ROUTINE
741,heart racing at rest + few minutes,Self,Umuntu mukuru,"Ndetse nicaranye umutima utera cyane nk'uwiruka, bikamara iminota mike.",,URGENT
742,cleft lip + baby + what can be done,Carer,Impinja,"Umwana yavutse afite umunwa ucitse, ndashaka kumenya icyo twakora.",,ROUTINE
743,no sleep + brother died 3 weeks,Self,Umuntu mukuru,Maze iminsi ntasinzira kuva murumuna wanjye apfuye mu byumweru bitatu bishize.,,ROUTINE
744,burn + motorbike exhaust + hand,Self,Ingimbi/Umwangavu,Nahiye ukuboko kuri moteri ya moto yari ishyushye.,,URGENT
745,pale stool + dark urine + child,Carer,Umwana,Umwana ari gusohora umwanda werurutse kandi inkari ze zijimye.,,URGENT
746,breastfeeding + TB tablets + safe?,Self,Umuntu mukuru,Ndonsa kandi ndimo gufata imiti y'igituntu. Ese ntacyo bitwaye ku mwana?,,ROUTINE
747,boil under arm + growing week,Self,Umuntu mukuru,Mfite ibibyimba munsi y'ukuboko bimaze icyumweru byiyongera.,,URGENT
748,can't see blackboard + teacher brought,Carer,Umwana,"Umwana ntashobora kubona neza ibyo bandika ku kibaho, ni yo mpamvu mwarimu yamuzanye.",,ROUTINE
749,cough + grain store work,Self,Umuntu mukuru,Nkorora cyane kandi nkora ahantu habikwa imyaka.,,URGENT
750,fell carrying water + wrist,Self,Umuntu mukuru,Naguye nkiri gutwara amazi none ukuboko ku kuboko kw'ikiganza kurandya.,,URGENT
751,fever + stiff neck + since morning,Carer,Umwana,Umwana afite umuriro kandi ijosi rirakomeye kuva mu gitondo.,,URGENT
752,stitches out + done here,Self,Umuntu mukuru,Naje gukuramo insinga zo ku gikomere mwanshiriye hano.,,ROUTINE
753,throat tight when anxious,Self,Ingimbi/Umwangavu,Iyo ngize ubwoba cyangwa mpangayitse numva umuhogo ufunga.,,ROUTINE
754,child thinner since school started,Carer,Umwana,Umwana yatangiye kunanuka kuva amashuri yatangira.,,ROUTINE
755,stone in eye + breaking rocks,Self,Umuntu mukuru,Hari akabuye kinjiye mu jisho nkiri kumena amabuye.,,URGENT
756,3-monthly injection + due,Self,Umuntu mukuru,Naje gufata urushinge nterwa buri mezi atatu kuko igihe cyo kurufata cyageze.,,ROUTINE
757,tooth pain + wakes at night,Self,Umuntu mukuru,Iryinyo rirandya cyane ku buryo n'ijoro rintera kubyuka.,,URGENT
758,playing + suddenly arm won't move,Carer,Umwana,Umwana yari ari gukina maze ukuboko kwe guhita kudakora.,,URGENT
759,sore on lip + one month,Self,Umuntu mukuru,Mfite igisebe ku munwa kimaze ukwezi kidakira.,,URGENT
760,vomiting blood + since dawn + brought by neighbour,Carer,Umuntu mukuru,"Yatangiye kuruka amaraso kuva mu rukerera, umuturanyi ni we wamuzanye.",,CRITICAL
761,child won't walk on one leg + since yesterday,Carer,Umwana,Umwana kuva ejo ntashobora gukandagira kuri uku kuguru kumwe.,,URGENT
762,employer + test before season,Self,Umuntu mukuru,Umukoresha yansabye kuza kwipimisha mbere y'uko akazi k'iki gihe gatangira.,,ROUTINE
763,burning chest after eating + worse lying,Self,Umuntu mukuru,"Nyuma yo kurya numva igituza cyaka, kandi birushaho iyo ndyamye.",,ROUTINE
764,pregnant + vomiting everything + week,Self,Ingimbi/Umwangavu,Ndatwite kandi maze icyumweru ndaruka ibyo nariye byose.,,URGENT
765,thumb cut + panga + wrapped in cloth,Self,Umuntu mukuru,"Niyaciye igikumwe n'umupanga, ngipfuka n'umwenda.",,URGENT
766,swelling behind ear + painful + child,Carer,Umwana,Umwana afite kubyimba inyuma y'ugutwi kandi haramurya.,,URGENT
767,feet numb months + didn't notice wound,Self,Umusaza/Umukecuru,"Maze amezi ibirenge byanjye bitumva neza, ni yo mpamvu ntigeze mbona igisebe mfite.",,URGENT
768,friend said check the lump,Self,Umuntu mukuru,Inshuti yambwiye ko nza kwisuzumisha iki kibyimba mfite.,,ROUTINE
769,coughs after drinking water,Self,Umusaza/Umukecuru,Iyo nyweye amazi mpita nkorora.,,ROUTINE
770,baby + traditional birth attendant + fever,Carer,Impinja,Umwana yavukiye ku muforomo gakondo none afite umuriro.,,URGENT
771,rash + after new soap,Self,Umwana,Natangiye kugira utubyimba ku mubiri nyuma yo gukoresha isabune nshya.,,ROUTINE
772,pain started belly + moved lower right,Self,Ingimbi/Umwangavu,Ububabare bwatangiriye mu nda maze bujya hasi ku ruhande rw'iburyo.,,URGENT
773,fell from scaffolding + building site,Carer,Umuntu mukuru,Yaguye ku nzu y'ubwubatsi ari ku kazi ko kubaka.,,URGENT
774,can't hold urine since birth,Self,Umuntu mukuru,Kuva navuka sinshobora kwifata inkari.,,ROUTINE
775,pulling ear + fever + child,Carer,Impinja,Umwana ahora akurura ugutwi kandi afite umuriro.,,URGENT
776,pharmacy refused + no paper,Self,Umuntu mukuru,Muri farumasi baranyanze kuko nta rupapuro rw'imiti nari mfite.,,ROUTINE
