id,cue,reporter,age_group,text_kw,author,label,annotator,validated_by,register
667,Says the pain in the eye started after a chemical splashed,Self,Umuntu mukuru,Avuga ko ijisho ryatangiye kubabara nyuma yo kurigeraho umuti wa shimi.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
668,Woman says her baby is jaundiced and refusing to feed,Carer,Impinja,Umugore avuga ko uruhinja rwe rwahindutse umuhondo kandi rwanga konka cyangwa kurya.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
669,Says he has been having pain in the stomach and black stool,Self,Umusaza/Umukecuru,Avuga ko aribwa mu nda kandi umwanda ukaba wirabura.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
670,Came for advice because the child was diagnosed with sickle cell,Carer,Umwana,Yaje gusaba inama kuko umwana yasanzwemo indwara y'uturemangingo tw'amaraso dutoya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
671,Says the swelling under the jaw is painful when eating,Self,Umuntu mukuru,Avuga ko kubyimba munsi y'urwasaya bibabaza iyo ariye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
672,Child has been sleepy and vomiting since a fall from a wall,Carer,Umwana,Umwana amaze gusinzira cyane no kuruka kuva aguye ku rukuta.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
673,Says she has been having flashbacks since the attack,Self,Umuntu mukuru,Avuga ko amaze kubona mu bitekerezo ibintu by'ibyabaye kuva yagabwaho igitero.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
674,Has a growth on the eyelid that has been there for years,Self,Umusaza/Umukecuru,Afite ikibyimba ku gitsike cy'ijisho kimaze imyaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
675,Says he cannot pass stool and vomits everything,Self,Umusaza/Umukecuru,Avuga ko adashobora kwituma kandi ibyo arya cyangwa anywa byose akabiruka.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
676,Woman says her waters broke at seven months,Self,Umuntu mukuru,Umugore avuga ko amazi yo mu nda yasohotse afite inda y'amezi arindwi.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
677,Says the child's hand was closed in a door,Carer,Umwana,Avuga ko ukuboko k'umwana kwafungiranywe mu rugi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
678,Came to ask whether the medicine can be crushed for an old parent,Carer,Umusaza/Umukecuru,Yaje kubaza niba umuti ushobora gusywa kugira ngo awuhe umubyeyi ugeze mu zabukuru.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
679,Says he was bitten by a spider and the skin is dying around it,Self,Umuntu mukuru,Avuga ko yarumwe n'igitagangurirwa kandi uruhu ruzengurutse aho yarumwe rurimo kwangirika.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
680,Has been having pain in the chest and a cough for three months,Self,Umuntu mukuru,Amaze amezi atatu afite ububabare mu gituza n'inkorora.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
681,Says the child has not been able to bend the neck since morning,Carer,Umwana,Avuga ko kuva mu gitondo umwana atabasha kunama ijosi.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
682,Man says his tablets were changed and now he feels worse,Self,Umusaza/Umukecuru,Umugabo avuga ko imiti yahinduwe none akaba yumva arushijeho kumera nabi.,,CANNOT CLASSIFY,"single, non-clinician, the paper's author",NONE,record_voice
683,Says she delivered twins at home and one is not moving well,Carer,Impinja,Avuga ko yabyariye impanga mu rugo kandi umwe muri bo atagenda neza.,,CRITICAL,"single, non-clinician, the paper's author",NONE,record_voice
684,Came because the school nurse saw something on the child's skin,Carer,Umwana,Yaje kuko umuforomokazi w'ishuri yabonye ikintu ku ruhu rw'umwana.,,CANNOT CLASSIFY,"single, non-clinician, the paper's author",NONE,patient_voice
685,Says the pain in the belly button has been there since a lifting job,Self,Umuntu mukuru,Avuga ko ububabare bwo ku mukondo bwatangiye kuva akora akazi ko guterura ibintu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
686,Has been coughing and has lost his voice for a month,Self,Umusaza/Umukecuru,Amaze ukwezi akorora kandi ijwi ryarabuze.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
687,Says the child has been turning blue when crying hard,Carer,Impinja,Avuga ko umwana ahinduka ubururu iyo arize cyane.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
688,Woman says she has been bleeding since the injection for family planning,Self,Umuntu mukuru,Umugore avuga ko amaze kuva amaraso kuva yaterwa urushinge rwo kuboneza urubyaro.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
689,Says his foot was cut by a hoe and he tied it with a banana leaf,Self,Umuntu mukuru,Avuga ko yakaswe ku kirenge n'isuka maze akizirikaho ikibabi cy'igitoki.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
690,Came to ask about the results of the child's hearing test,Carer,Umwana,Yaje kubaza ibisubizo by'isuzuma ry'amatwi y'umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
691,Says he has been having pain in the neck since sleeping badly,Self,Umuntu mukuru,Avuga ko ijosi rimaze igihe rimubabaza kuva aryama nabi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
692,Child has a swelling on the head that is soft and growing,Carer,Impinja,Umwana afite kubyimba ku mutwe korohereye kandi gukomeza kwiyongera.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
693,Says she has been unable to eat and has vomited for four days,Self,Umusaza/Umukecuru,Avuga ko amaze iminsi ine atabasha kurya kandi aruka.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
694,Man says his eye was hit by a stone thrown in a crowd,Self,Ingimbi/Umwangavu,Umugabo avuga ko ibuye ryatewe mu bantu ryamukubise mu jisho.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
695,Says the child has had a fever and is breathing fast and shallow,Carer,Umwana,Avuga ko umwana afite umuriro kandi ahumeka vuba kandi adahumeka cyane.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
696,Has been told to come monthly and has missed three months,Self,Umuntu mukuru,Yabwiwe kuza buri kwezi ariko amaze amezi atatu ataza.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
697,Says the wound on the leg was from a fall into a ditch in the rain,Self,Umuntu mukuru,Avuga ko igikomere cyo ku kuguru cyatewe no kugwa mu mwobo igihe cy'imvura.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
698,Woman says her mother has been confused and not eating for a week,Carer,Umusaza/Umukecuru,Umugore avuga ko nyina amaze icyumweru atazi neza ibimukikije kandi atarya.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
699,Says he has a pain in the chest and his father died of the heart,Self,Umuntu mukuru,Avuga ko afite ububabare mu gituza kandi se yapfuye azize indwara y'umutima.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
700,Came only to ask a question and does not want to be examined,Self,Umuntu mukuru,Yaje gusa kubaza ikibazo kandi ntashaka ko bamusuzuma.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
701,cough + blood + 2 weeks,Self,Umuntu mukuru,Maze ibyumweru bibiri nkorora kandi hari n'amaraso mbona mu byo nkorora.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
702,child + hot + not feeding + 1 day,Carer,Impinja,Umwana afite umuriro kandi kuva ejo ntashaka konka cyangwa kurya.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
703,chest pain + climbing hill + stops on rest,Self,Umusaza/Umukecuru,"Iyo ngiye kuzamuka umusozi ndababara mu gituza, nkabanza guhagarara bikagenda bigabanuka.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
704,pregnant + no movement + since morning,Self,Umuntu mukuru,Ndatwite ariko kuva mu gitondo sinumva umwana yinyeganyeza.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
705,refill + BP tablets + feels well,Self,Umusaza/Umukecuru,"Naje kongera imiti y'umuvuduko w'amaraso, ubu numva meze neza.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
706,machete cut + hand + bleeding through cloth,Self,Umuntu mukuru,Nacishijweho umuhoro ku kuboko kandi amaraso aracyanyura mu mwenda napfutse.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
707,burning urine + 3 days,Self,Umuntu mukuru,Maze iminsi itatu numva inkari zindya kandi zishya iyo nyihagaritse.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
708,found collapsed + neighbour + brought in,Carer,Umuntu mukuru,"Yaguye hasi ataye ubwenge, umuturanyi ni we wamubonye akamuzana hano.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
709,rash + arms + itchy + 2 days,Self,Ingimbi/Umwangavu,Maze iminsi ibiri mfite utubyimba ku maboko kandi turandya cyane.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
710,headache + light hurts + won't stop,Self,Umuntu mukuru,"Umutwe urandya cyane kandi urumuri rurambabaza, ntibishaka guhagarara.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
711,antenatal check + no complaints,Self,Umuntu mukuru,"Naje kwisuzumisha inda nk'uko bisanzwe, nta kibazo mfite.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
712,child breathing fast + chest pulling in,Carer,Impinja,Umwana ahumeka vuba kandi mbona igituza cye kijya imbere iyo ahumeka.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
713,knife cut + cooking + bleeding stopped,Self,Umuntu mukuru,"Niyaciye n'icyuma ndi guteka, ariko amaraso yahise ahagarara.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
714,dizzy standing + tired weeks,Self,Umusaza/Umukecuru,Iyo mpagaze ndizungera kandi maze ibyumweru numva ndushye cyane.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
715,diabetic + foot wound + smells,Self,Umusaza/Umukecuru,Mfite diyabete kandi mfite igisebe ku kirenge gitangiye kunuka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
716,father + confused since yesterday,Carer,Umusaza/Umukecuru,Data kuva ejo yatangiye kuvanga ibintu no kutamenya neza ibyo akora.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
717,belly pain right side + vomited twice,Self,Ingimbi/Umwangavu,Ndababara mu nda ku ruhande rw'iburyo kandi namaze kuruka kabiri.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
718,vaccination appointment,Carer,Impinja,Naje kuzana umwana ku isuzuma no guhabwa urukingo rwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
719,swallowed something + can't speak,Carer,Umwana,Umwana yamize ikintu none ntashobora kuvuga.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
720,back pain + lifted sack yesterday,Self,Umuntu mukuru,Ejo nazamuye umufuka uremereye none umugongo urandya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
721,watery stool + since morning + weak,Self,Umuntu mukuru,Kuva mu gitondo ngira impiswi z'amazi kandi natangiye gucika intege.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
722,eye red + painful + blurry,Self,Umuntu mukuru,"Ijisho ryanjye ryatukuye, rirandya kandi mbona ibintu bitagaragara neza.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
723,contractions started + waters broke,Self,Umuntu mukuru,Natangiye kugira ibise kandi amazi yo mu nda yamenetse.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
724,HIV test + no symptoms,Self,Ingimbi/Umwangavu,Naje kwipimisha agakoko gatera SIDA nubwo nta bimenyetso mfite.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
725,bead in ear + child,Carer,Umwana,Umwana yashyize agapira mu gutwi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
726,no sleep many days + hopeless,Self,Umuntu mukuru,Maze iminsi myinshi ntasinzira kandi numva nta cyizere mfite.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
727,snake bite + leg + farming,Self,Umuntu mukuru,Narumwe n'inzoka ku kuguru ndi mu murima.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
728,hot water burn + child + grandmother brought,Carer,Umwana,"Umwana yatwitswe n'amazi ashyushye, ni njye nyirakuru wamuzanye.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
729,ankle twisted + football + can walk,Self,Ingimbi/Umwangavu,"Nakomerekeje akagombambari nkiri gukina umupira, ariko ndacyabasha kugenda.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
730,tongue swollen + after new tablet,Self,Umuntu mukuru,Ururimi rwarabyimbye nyuma yo gufata umuti mushya.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
731,child drank bottle under sink + unknown,Carer,Umwana,"Umwana yanyoye ku icupa ryari munsi y'urwogero, ariko sinzi icyo ryari ririmo.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
732,soft swelling head + baby + not at birth,Carer,Impinja,"Umwana afite ahantu horoshye habyimbye ku mutwe, ariko ntibyari bihari akivuka.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
733,pesticide + no mask + dizzy + drooling,Self,Umuntu mukuru,"Nateye umuti wica udukoko ntambaye agapfukamunwa, none ndazungera kandi amacandwe arava cyane.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
734,urine strange colour + on tablets,Self,Umuntu mukuru,Inkari zanjye zahindutse ibara kandi ndimo gufata imiti.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
735,arm won't straighten + fall last week,Carer,Umwana,Umwana ntashobora kugorora ukuboko kuva yagwa mu cyumweru gishize.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
736,pain during sex + told nobody,Self,Umuntu mukuru,"Iyo nkoze imibonano mpuzabitsina ndababara, ariko nta muntu nari nabibwiye.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
737,grandmother + doesn't recognise family,Carer,Umusaza/Umukecuru,Nyogokuru ntakimenya abo mu muryango.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
738,cut + slaughtering goat + worried infection,Self,Umuntu mukuru,Niyaciye nkiri kubaga ihene kandi mfite impungenge ko igisebe cyandura.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
739,child limping 2 weeks + no injury,Carer,Umwana,Umwana amaze ibyumweru bibiri agenda arega ukuguru kandi nta kintu twabonye cyamukomerekeje.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
740,medicine works + can't afford monthly,Self,Umuntu mukuru,Uyu muti uramfasha ariko sinshobora kubona amafaranga yo kuwugura buri kwezi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
741,heart racing at rest + few minutes,Self,Umuntu mukuru,"Ndetse nicaranye umutima utera cyane nk'uwiruka, bikamara iminota mike.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
742,cleft lip + baby + what can be done,Carer,Impinja,"Umwana yavutse afite umunwa ucitse, ndashaka kumenya icyo twakora.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
743,no sleep + brother died 3 weeks,Self,Umuntu mukuru,Maze iminsi ntasinzira kuva murumuna wanjye apfuye mu byumweru bitatu bishize.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
744,burn + motorbike exhaust + hand,Self,Ingimbi/Umwangavu,Nahiye ukuboko kuri moteri ya moto yari ishyushye.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
745,pale stool + dark urine + child,Carer,Umwana,Umwana ari gusohora umwanda werurutse kandi inkari ze zijimye.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
746,breastfeeding + TB tablets + safe?,Self,Umuntu mukuru,Ndonsa kandi ndimo gufata imiti y'igituntu. Ese ntacyo bitwaye ku mwana?,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
747,boil under arm + growing week,Self,Umuntu mukuru,Mfite ibibyimba munsi y'ukuboko bimaze icyumweru byiyongera.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
748,can't see blackboard + teacher brought,Carer,Umwana,"Umwana ntashobora kubona neza ibyo bandika ku kibaho, ni yo mpamvu mwarimu yamuzanye.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
749,cough + grain store work,Self,Umuntu mukuru,Nkorora cyane kandi nkora ahantu habikwa imyaka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
750,fell carrying water + wrist,Self,Umuntu mukuru,Naguye nkiri gutwara amazi none ukuboko ku kuboko kw'ikiganza kurandya.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
751,fever + stiff neck + since morning,Carer,Umwana,Umwana afite umuriro kandi ijosi rirakomeye kuva mu gitondo.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
752,stitches out + done here,Self,Umuntu mukuru,Naje gukuramo insinga zo ku gikomere mwanshiriye hano.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
753,throat tight when anxious,Self,Ingimbi/Umwangavu,Iyo ngize ubwoba cyangwa mpangayitse numva umuhogo ufunga.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
754,child thinner since school started,Carer,Umwana,Umwana yatangiye kunanuka kuva amashuri yatangira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
755,stone in eye + breaking rocks,Self,Umuntu mukuru,Hari akabuye kinjiye mu jisho nkiri kumena amabuye.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
756,3-monthly injection + due,Self,Umuntu mukuru,Naje gufata urushinge nterwa buri mezi atatu kuko igihe cyo kurufata cyageze.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
757,tooth pain + wakes at night,Self,Umuntu mukuru,Iryinyo rirandya cyane ku buryo n'ijoro rintera kubyuka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
758,playing + suddenly arm won't move,Carer,Umwana,Umwana yari ari gukina maze ukuboko kwe guhita kudakora.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
759,sore on lip + one month,Self,Umuntu mukuru,Mfite igisebe ku munwa kimaze ukwezi kidakira.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
760,vomiting blood + since dawn + brought by neighbour,Carer,Umuntu mukuru,"Yatangiye kuruka amaraso kuva mu rukerera, umuturanyi ni we wamuzanye.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
761,child won't walk on one leg + since yesterday,Carer,Umwana,Umwana kuva ejo ntashobora gukandagira kuri uku kuguru kumwe.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
762,employer + test before season,Self,Umuntu mukuru,Umukoresha yansabye kuza kwipimisha mbere y'uko akazi k'iki gihe gatangira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
763,burning chest after eating + worse lying,Self,Umuntu mukuru,"Nyuma yo kurya numva igituza cyaka, kandi birushaho iyo ndyamye.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
764,pregnant + vomiting everything + week,Self,Ingimbi/Umwangavu,Ndatwite kandi maze icyumweru ndaruka ibyo nariye byose.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
765,thumb cut + panga + wrapped in cloth,Self,Umuntu mukuru,"Niyaciye igikumwe n'umupanga, ngipfuka n'umwenda.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
766,swelling behind ear + painful + child,Carer,Umwana,Umwana afite kubyimba inyuma y'ugutwi kandi haramurya.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
767,feet numb months + didn't notice wound,Self,Umusaza/Umukecuru,"Maze amezi ibirenge byanjye bitumva neza, ni yo mpamvu ntigeze mbona igisebe mfite.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
768,friend said check the lump,Self,Umuntu mukuru,Inshuti yambwiye ko nza kwisuzumisha iki kibyimba mfite.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
769,coughs after drinking water,Self,Umusaza/Umukecuru,Iyo nyweye amazi mpita nkorora.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
770,baby + traditional birth attendant + fever,Carer,Impinja,Umwana yavukiye ku muforomo gakondo none afite umuriro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
771,rash + after new soap,Self,Umwana,Natangiye kugira utubyimba ku mubiri nyuma yo gukoresha isabune nshya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
772,pain started belly + moved lower right,Self,Ingimbi/Umwangavu,Ububabare bwatangiriye mu nda maze bujya hasi ku ruhande rw'iburyo.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
773,fell from scaffolding + building site,Carer,Umuntu mukuru,Yaguye ku nzu y'ubwubatsi ari ku kazi ko kubaka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
774,can't hold urine since birth,Self,Umuntu mukuru,Kuva navuka sinshobora kwifata inkari.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
775,pulling ear + fever + child,Carer,Impinja,Umwana ahora akurura ugutwi kandi afite umuriro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
776,pharmacy refused + no paper,Self,Umuntu mukuru,Muri farumasi baranyanze kuko nta rupapuro rw'imiti nari mfite.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
777,scrotum swelling + growing year,Self,Umusaza/Umukecuru,Mfite kubyimba mu mabya bimaze umwaka bigenda byiyongera.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
778,bleeding after delivery + not stopping,Self,Umuntu mukuru,Ndi kuva amaraso nyuma yo kubyara kandi ntarahagarara.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
779,cat bite + hand + child,Carer,Umwana,Umwana yarumwe n'injangwe ku kuboko.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
780,flashes of light + one eye,Self,Umusaza/Umukecuru,Ndabona nk'urumuri rumurika mu jisho rimwe.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
781,shaking since stopped drinking,Self,Umuntu mukuru,Natangiye gutitira kuva nahagarika kunywa inzoga.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
782,deworming tablets + child,Carer,Umwana,Naje gufata imiti y'inzoka y'umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
783,chest pain + carrying sack + not gone,Self,Umuntu mukuru,Natangiye kubabara mu gituza nkiri gutwara umufuka kandi ububabare ntiburashira.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
784,baby arches back + cries after feed,Carer,Impinja,Umwana arunama inyuma kandi akarira nyuma yo konka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
785,anaemic + what to eat,Self,Umuntu mukuru,"Bambwiye ko mfite amaraso make, ndashaka kumenya ibyo nakwiriye kurya.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
786,lightning near field + feels strange,Self,Umuntu mukuru,"Inkuba yakubise hafi y'umurima ndi ho, none numva umubiri utameze neza.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
787,white spots skin + no itch + child,Carer,Umwana,Umwana afite utubara twera ku ruhu ariko ntitumurya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
788,period late + pain one side,Self,Umuntu mukuru,Imihango yatinze kandi ndababara ku ruhande rumwe rw'inda.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
789,headaches since new job,Self,Umuntu mukuru,Umutwe umaze igihe undya kuva natangira akazi gashya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
790,road accident + brought by moto taxi,Carer,Umuntu mukuru,"Yagize impanuka yo mu muhanda, bamuzana kuri moto.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
791,child eating soil,Carer,Umwana,Umwana ahora arya ubutaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
792,nipple discharge + not breastfeeding,Self,Umuntu mukuru,Amabere arimo gusohora ibintu kandi sindimo konsa.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
793,vision went dark one eye + came back,Self,Umusaza/Umukecuru,"Ijisho rimwe ryahise ritabona, nyuma ndongera mbona.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
794,TB in house + should family test?,Self,Umuntu mukuru,Mu rugo dufite umuntu urwaye igituntu. Ese n'umuryango twakwipimisha?,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
795,child fell in cooking fire + hand + forearm,Carer,Umwana,"Umwana yaguye mu muriro wo gutekamo, atwika ikiganza n'ukuboko.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
796,dizzy + heavy periods,Self,Ingimbi/Umwangavu,Ndazungera kandi imihango yanjye iza ari myinshi cyane.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
797,no urine since yesterday morning,Self,Umusaza/Umukecuru,Kuva ejo mu gitondo sinigeze nsubira kunyara.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
798,cough since birth + never explained,Carer,Umwana,Umwana amaze igihe akorora kuva akivuka kandi ntituramenya impamvu.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
799,collapsed in market + brought by neighbours,Carer,Umuntu mukuru,"Yaguye mu isoko, abaturanyi ni bo bamuzanye hano.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
800,tablets make sleepy + stopped them,Self,Umuntu mukuru,Iyi miti yanteraga gusinzira cyane ni yo mpamvu nayihagaritse.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
801,knee swollen + no injury + child,Carer,Umwana,Umwana afite ivi ryabyimbye kandi nta kintu cyamukomerekeje.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
802,status before marriage,Self,Ingimbi/Umwangavu,Naje kubaza uko namenya uko ubuzima bwanjye bw'imyororokere buhagaze mbere yo gushaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
803,shoulder pain + painting ceiling,Self,Umuntu mukuru,Nababara ku rutugu kuva natangira gusiga amarangi ku gisenge.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
804,baby quiet since birth + feeds slowly,Carer,Impinja,Umwana kuva avuka aratuje cyane kandi yonka buhoro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
805,itching between fingers,Self,Umwana,Hagati y'intoki harandya cyane.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
806,fell off ladder + landed on heels,Self,Umuntu mukuru,Naguye ku ngazi maze nkandagira cyane ku birenge.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
807,CHW measured child's arm,Carer,Umwana,Umukozi w'ubuzima wo mu mudugudu yapimye ukuboko k'umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
808,blood in urine + no pain,Self,Umusaza/Umukecuru,Mbona amaraso mu nkari ariko nta bubabare numva.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
809,headache sudden like a blow,Self,Umuntu mukuru,Umutwe wanjye wahise undya cyane nk'aho nakubiswe.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
810,swallowed torch battery,Carer,Umwana,Umwana yamize batiri y'agatadowa.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
811,ankles swell evening + down by morning,Self,Umusaza/Umukecuru,"Amaguru ku nkondo arabyimba nimugoroba, ariko mu gitondo bikaba byagabanutse.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
812,family planning + must not stop periods,Self,Umuntu mukuru,Naje kubaza ku kuboneza urubyaro kandi sinshaka uburyo bwatuma imihango ihagarara.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
