concept_id,domain,proposed_urgency,english_gloss,person,person_note,applies,action,relation_set,relation_set_members,keep_distinct_from,hold,needs_clinician,brief_notes,your_phrasing,second_phrasing_optional,regional_variant,your_notes
GI05,gastrointestinal,URGENT,blood in the stool,first,,yes,WRITE — and answer the question in brief_notes,,,,,,"QUESTION 2 OF 3 — A WORD FOR STOOL (this row and GI03). See GI03 for the full question. This is the row the Kinyarwanda arm routed around by using the word for diarrhoea rather than a noun for stool. If Kiswahili lets you say it directly, say it directly, and note in your_notes whether you used a stool word or went around it the same way. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
GI05,gastrointestinal,URGENT,blood in the stool,third,,yes,WRITE — and answer the question in brief_notes,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"QUESTION 2 OF 3 — A WORD FOR STOOL (this row and GI03). See GI03 for the full question. This is the row the Kinyarwanda arm routed around by using the word for diarrhoea rather than a noun for stool. If Kiswahili lets you say it directly, say it directly, and note in your_notes whether you used a stool word or went around it the same way. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,first,,yes,WRITE,,,EX14 (plain severe belly pain) — the axis is that GI07's does not settle,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX14 (plain severe belly pain) — the axis is that GI07's does not settle,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into EX16, which carries the same sign. Nothing to write on either person's row.",,,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into EX16, which carries the same sign. Nothing to write on either person's row.",,,,
EX18,haemorrhage_trauma,CRITICAL,heavy bleeding that will not stop,first,,yes,WRITE,,,"EX20 — EX18 is bleeding that will not stop, EX20 is specifically the NOSE",,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX18,haemorrhage_trauma,CRITICAL,heavy bleeding that will not stop,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"EX20 — EX18 is bleeding that will not stop, EX20 is specifically the NOSE",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX19,haemorrhage_trauma,CRITICAL,a deep wound losing a lot of blood,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX19,haemorrhage_trauma,CRITICAL,a deep wound losing a lot of blood,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX20,haemorrhage_trauma,CRITICAL,a nosebleed that will not stop,first,,yes,WRITE,,,"EX18 (heavy bleeding, site unspecified) — EX20 must name the nose",,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX20,haemorrhage_trauma,CRITICAL,a nosebleed that will not stop,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"EX18 (heavy bleeding, site unspecified) — EX20 must name the nose",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX21,haemorrhage_trauma,CRITICAL,a head injury after a bad fall,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX21,haemorrhage_trauma,CRITICAL,a head injury after a bad fall,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX22,haemorrhage_trauma,URGENT,"an infected wound, red and full of pus",first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX22,haemorrhage_trauma,URGENT,"an infected wound, red and full of pus",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX23,haemorrhage_trauma,URGENT,severe pain after a fall,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX23,haemorrhage_trauma,URGENT,severe pain after a fall,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into EX18, which carries the same sign. Nothing to write on either person's row.",,,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into EX18, which carries the same sign. Nothing to write on either person's row.",,,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,first,,yes,SKIP — held,,,,yes,yes,Held for a clinician: whether a patient concussed enough to be confused and vomiting can give this account themselves. | For a clinician: can a patient concussed enough to be vomiting and confused give this account? This row is held.,,,,
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT04,haemorrhage_trauma,CRITICAL,large burn,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
HT04,haemorrhage_trauma,CRITICAL,large burn,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,first,,yes,WRITE,,,,,yes,"AXIS, AND IT MATTERS FOR THE WORDING. The concept is a limb that is BENT OR OUT OF SHAPE after a fall — what the patient can see — and NOT a fracture, which is a diagnosis. The Kinyarwanda arm was blocked here for days because only fracture vocabulary was attested; the speaker settled it by saying the leg is bent AND adding 'but I do not think it is broken' inside the sentence. If Kiswahili has an ordinary way to say a limb is bent out of shape, use it. If the only natural words are fracture words, say so in your_notes rather than writing a phrase that claims a fracture. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into EX22, which carries the same sign. Nothing to write on either person's row.",,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into EX22, which carries the same sign. Nothing to write on either person's row.",,,,
HT07,haemorrhage_trauma,URGENT,snake bite,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
HT07,haemorrhage_trauma,URGENT,snake bite,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX24,infectious_fever,URGENT,a high fever of 39 degrees,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX24,infectious_fever,URGENT,a high fever of 39 degrees,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX25,infectious_fever,URGENT,fever with a bad cough,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX25,infectious_fever,URGENT,fever with a bad cough,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX26,infectious_fever,URGENT,"malaria symptoms, fever and chills",first,,yes,WRITE,,,"EX27 — both are fever with chills, and EX27 adds that the patient suspects malaria. Whether these are one concept is UNRESOLVED (see brief_notes on EX27); write them so they do not become one sentence.",,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX26,infectious_fever,URGENT,"malaria symptoms, fever and chills",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"EX27 — both are fever with chills, and EX27 adds that the patient suspects malaria. Whether these are one concept is UNRESOLVED (see brief_notes on EX27); write them so they do not become one sentence.",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX27,infectious_fever,URGENT,"fever with chills, and the patient thinks it is malaria",first,,yes,WRITE,,,EX26 (malaria symptoms: fever and chills) — EX27 adds the patient's own suspicion. Their collapse is unresolved.,,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'fever and aching all over', which the speaker's rewrite does not say — it says fever, chills and a suspicion of malaria. Recorded in docs/ex-concept-drift.md. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
EX27,infectious_fever,URGENT,"fever with chills, and the patient thinks it is malaria",third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX26 (malaria symptoms: fever and chills) — EX27 adds the patient's own suspicion. Their collapse is unresolved.,,,"The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on inflecting one verb for a third person, which is a Kinyarwanda grammar question. Write this row. | Not a question for you: The Kinyarwanda flag is about inflecting one verb for another person. It does not transfer. | GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'fever and aching all over', which the speaker's rewrite does not say — it says fever, chills and a suspicion of malaria. Recorded in docs/ex-concept-drift.md. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX28,infectious_fever,URGENT,fever with a severe headache,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX28,infectious_fever,URGENT,fever with a severe headache,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX29,infectious_fever,ROUTINE,"a mild fever for one day, with nothing else wrong",first,,yes,WRITE,,,"CR07 (a mild cough, no fever) and EX31 (a runny nose)",,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'a mild cough with no fever' — the OPPOSITE sign. Three concepts rotated across three ids in the rewrite: v1 EX29's cough is now CR07's, v1 EX30's runny nose is now EX31's, and this id took the mild-fever-no-danger-sign concept that IF07 used to hold. docs/ex-concept-drift.md, re-examined 2026-09-04. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
EX29,infectious_fever,ROUTINE,"a mild fever for one day, with nothing else wrong",third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,"CR07 (a mild cough, no fever) and EX31 (a runny nose)",,,"GLOSS CORRECTED FROM THE v1 CORPUS: v1 English says 'a mild cough with no fever' — the OPPOSITE sign. Three concepts rotated across three ids in the rewrite: v1 EX29's cough is now CR07's, v1 EX30's runny nose is now EX31's, and this id took the mild-fever-no-danger-sign concept that IF07 used to hold. docs/ex-concept-drift.md, re-examined 2026-09-04. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX30,infectious_fever,ROUTINE,a mild runny nose,first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into CR07, which carries the same sign. Nothing to write on either person's row. | Its Kinyarwanda rewrite ('I cough a little but have no fever') is the phrase CR07 now carries — the concept moved, it was not deleted. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.",,,,
EX30,infectious_fever,ROUTINE,a mild runny nose,third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into CR07, which carries the same sign. Nothing to write on either person's row. | Its Kinyarwanda rewrite ('I cough a little but have no fever') is the phrase CR07 now carries — the concept moved, it was not deleted. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.",,,,
EX31,infectious_fever,ROUTINE,a slightly runny nose,first,,yes,WRITE,,,CR07 (mild cough) and EX29 (mild fever),,,"GLOSS CORRECTED FROM THE v1 CORPUS: This row was ADDED by the Kinyarwanda speaker and has no v1 position in any language, so there is no v1 English to take. Its concept is the one that arrived here when three concepts rotated across three ids in the rewrite — see EX29 and EX30. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
EX31,infectious_fever,ROUTINE,a slightly runny nose,third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,CR07 (mild cough) and EX29 (mild fever),,,"GLOSS CORRECTED FROM THE v1 CORPUS: This row was ADDED by the Kinyarwanda speaker and has no v1 position in any language, so there is no v1 English to take. Its concept is the one that arrived here when three concepts rotated across three ids in the rewrite — see EX29 and EX30. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF01,infectious_fever,CRITICAL,fever with stiff neck,first,,yes,WRITE,,,,,,"The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on one unvalidated word for a stiff neck. Write this row. | Not a question for you: The Kinyarwanda flag is about one unvalidated word for a stiff neck. It does not transfer — but the sign is a danger sign, so keep the neck explicit. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
IF01,infectious_fever,CRITICAL,fever with stiff neck,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"The Kinyarwanda row is held; the hold is LIFTED here because held only because the Kinyarwanda first person was. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF02,infectious_fever,CRITICAL,fever with convulsions,first,,yes,WRITE,,,"EX33 (convulsing, no temperature named) and EX40 (convulsing with a fever above 40)",,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
IF02,infectious_fever,CRITICAL,fever with convulsions,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"EX33 (convulsing, no temperature named) and EX40 (convulsing with a fever above 40)",,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF03,infectious_fever,CRITICAL,fever and unable to drink,first,,yes,WRITE,,,,,,"The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on the wording of 'unable to drink', not on the concept. Write this row. | Not a question for you: The Kinyarwanda flag is about wording. It does not transfer — but this is an emergency danger sign (unable to drink or breastfeed), so keep it precise and do not soften it to 'not eating'. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
IF03,infectious_fever,CRITICAL,fever and unable to drink,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"The Kinyarwanda row is held; the hold is LIFTED here because held only because the Kinyarwanda first person was. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF04,infectious_fever,URGENT,fever with chills and sweats for days,first,,yes,WRITE,,,,,,The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on one unvalidated word for sweating. Write this row. | Not a question for you: The Kinyarwanda flag is about one unvalidated word for sweating. It does not transfer. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
IF04,infectious_fever,URGENT,fever with chills and sweats for days,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"The Kinyarwanda row is held; the hold is LIFTED here because held only because the Kinyarwanda first person was. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF05,infectious_fever,URGENT,fever with generalised rash,first,,yes,WRITE,,,,,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
IF05,infectious_fever,URGENT,fever with generalised rash,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF06,infectious_fever,URGENT,fever with pain passing urine,first,,yes,WRITE,,,,,,"The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on the register of one phrase for painful urination. Write this row. | Not a question for you: The Kinyarwanda flag is about the register of one phrase for painful urination. It does not transfer — though the same register question may arise in Kiswahili, and if it does, say so. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
IF06,infectious_fever,URGENT,fever with pain passing urine,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"The Kinyarwanda row is held; the hold is LIFTED here because held only because the Kinyarwanda first person was. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",first,,no,SKIP — does not apply,,,,,,"This whole concept is out of generation — it was collapsed into EX29, which carries the same sign. Nothing to write on either person's row.",,,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",third,,no,SKIP — does not apply,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"This whole concept is out of generation — it was collapsed into EX29, which carries the same sign. Nothing to write on either person's row.",,,,
EX32,neurological,CRITICAL,lost consciousness and is not responding,first,No first person: an unconscious patient cannot report their own unconsciousness. Third person only.,no,SKIP — does not apply,,,,,,This person does not apply — see person_note. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.,,,,
EX32,neurological,CRITICAL,lost consciousness and is not responding,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX33,neurological,CRITICAL,convulsions and shaking,first,No first person: a convulsing patient cannot report it while it is happening. Third person only.,no,SKIP — does not apply,,,"IF02 (fever with convulsions) and EX40 (fever above 40) — EX33 is the plain convulsion, and it must NOT be conditioned on a temperature",,,This person does not apply — see person_note. | Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate.,,,,
EX33,neurological,CRITICAL,convulsions and shaking,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"IF02 (fever with convulsions) and EX40 (fever above 40) — EX33 is the plain convulsion, and it must NOT be conditioned on a temperature",,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX34,neurological,CRITICAL,one side of the body not working,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX34,neurological,CRITICAL,one side of the body not working,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX35,neurological,CRITICAL,slurred speech and a drooping face,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX35,neurological,CRITICAL,slurred speech and a drooping face,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX36,neurological,ROUTINE,a mild headache that is not severe,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
EX36,neurological,ROUTINE,a mild headache that is not severe,third,,yes,WRITE,CHILD_RELATIONS,My child / My son / My daughter / My grandchild / My neighbour's child,,,,"Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
EX37,neurological,ROUTINE,mild tiredness during the day,first,,yes,WRITE,,,,,,Gloss is the frozen v1 English at this corpus position. It describes the presentation; it is not a sentence to translate. | First person: the patient's own words about themselves. No {REL} in this row.,,,,
