concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_english,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_english_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,first,yes,,utterance,,I vomit everything I eat and I cannot even drink.,new_draft,medium,ok,"gloss 'vomiting everything, cannot keep fluids down', IMCI general danger sign. Matches 'Ndaruka ibyo ndya byose kandi sinshobora no kunywa.' The 'cannot even drink' clause is what makes this the danger sign rather than EX13's repeated vomiting, so it carries the weight of the concept.",4,,,,"draft D077 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,third,yes,,utterance,ALL_RELATIONS,{REL} vomits everything they eat and cannot even drink.,new_draft,medium,ok,matches '{REL} araruka ibyo arya byose kandi ntashobora no kunywa.' Singular 'they' per the ruling.,4,,,,,machine_reviewed,,
GI02,gastrointestinal,CRITICAL,vomiting blood,BEC Module 4: approach to shock (haemorrhage),first,yes,,utterance,,I am vomiting blood.,new_draft,medium,ok,"gloss 'vomiting blood'. Matches 'Ndaruka amaraso.' Short because the concept is one fact, as the speaker's phrase is. It was the shortest candidate in the inventory and therefore the likeliest to fall inside another phrase — checked, it does not.",4,,,,"draft D079 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI02,gastrointestinal,CRITICAL,vomiting blood,BEC Module 4: approach to shock (haemorrhage),third,yes,,utterance,ALL_RELATIONS,{REL} is vomiting blood.,new_draft,medium,ok,matches '{REL} araruka amaraso.',4,,,,,machine_reviewed,,
GI03,gastrointestinal,CRITICAL,black tarry stool,BEC Module 4: approach to shock (occult GI bleeding),first,yes,,utterance,,My stool is black like tar.,new_draft,medium,ok,"HOLD LIFTED — the Kinyarwanda block is purely lexical and does not transfer. No word for stool exists in the approved vocabulary: 'umwanda', 'amabyi', 'ubwiherero', 'kwituma' and 'amase' were all checked and none is usable, and an outreach question is open with the speaker. English has no such gap. Same shape as PA08's ear term and CR05's wheeze. Replaces the sheet draft of the same wording, now declared as an utterance.",3,"'black like tar' is a simile a clinician uses to teach the sign. Would a patient reach for it, or just say black?",,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D081 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI03,gastrointestinal,CRITICAL,black tarry stool,BEC Module 4: approach to shock (occult GI bleeding),third,yes,,utterance,ALL_RELATIONS,{REL}'s stool is black like tar.,new_draft,medium,ok,HOLD LIFTED for the same reason — the Kinyarwanda third was blocked only because its first person was.,3,"'black like tar' is a simile a clinician uses to teach the sign. Would a patient reach for it, or just say black?",,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,IMCI: SEVERE DEHYDRATION,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,IMCI: SEVERE DEHYDRATION,third,yes,,utterance,ALL_RELATIONS,watery diarrhoea with sunken eyes and the skin stays pinched,sheet_draft,unreviewed,,"HELD 2026-09-05 — cluster 4, the other side. Stale sheet draft 'watery diarrhoea with sunken eyes and the skin stays pinched'. It contradicts the speaker's own resolved Kinyarwanda ('{REL} afite impiswi zikomeye kandi yagize umwuma' — has become dry, no eyes, no skin pinch) and it carries the skin-pinch manoeuvre, which section 7 records as something a carer cannot perform or report. Outside paediatric; held here because it is the concept PA05 would collapse into. It needs a fresh draft either way, not an accept.",,,,,"draft D083 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed. Written in carer voice already; needs {REL} substituted for the relation before it can expand.",,,yes
EX12,gastrointestinal,URGENT,,,first,yes,,utterance,,I have had bad diarrhoea for three days.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'maze iminsi itatu ndwaye impiswi zikomeye'. FRAME COLLISION, inherent and not fixable by rewording: the phrase carries its own duration and the ONSET slot supplies another, so this renders as '...for three days for three days'. The Kinyarwanda has the identical problem with ' kuva hashize iminsi itatu'. The duration cannot be dropped — three days is the axis against GI06's two weeks. This is docs/urgency-frame-coupling.md territory: EX12, GI06 and CR06 all carry their own duration in both languages.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX12,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has had bad diarrhoea for three days.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} amaze iminsi itatu arwaye impiswi zikomeye.' Same onset collision as the first person.,4,,,,,machine_reviewed,,
EX13,gastrointestinal,URGENT,,,first,yes,,utterance,,I keep vomiting and I cannot eat.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'ndakomeza kuruka kandi sinshobora kurya'. The speaker's rewrite moved this from 'sindya' (I do not eat) to 'sinshobora kurya' (I cannot eat), closing the parity gap against English/French/Swahili in their direction — see review/v1-cross-language-parity.md. English keeps 'cannot'.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX13,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} keeps vomiting and cannot eat.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} arakomeza kuruka kandi ntashobora kurya.',4,,,,,machine_reviewed,,
EX14,gastrointestinal,URGENT,,,first,yes,,utterance,,My stomach is hurting badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'inda irandya cyane'. WORDED APART FROM GI07 ON PURPOSE — in Kinyarwanda EX14 sits whole inside GI07 ('Inda irandya cyane kandi ububabare ntibuhagarara.'), one of the five multi-concept groups. FLAG: that containment is also evidence they may be one concept. GI07's gloss records the axis (pain that will not settle) but EX14 has no gloss at all, so nothing records that EX14 is the unqualified one. Worth ruling before either generates.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX14,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has bad stomach pain.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches '{REL} arababara cyane mu nda.' Kept clear of both GI07 third and EX38 third — the Kinyarwanda EX14 third is an ordered subsequence of EX38 third as well, so this concept collides in two directions at once in Kinyarwanda and in neither in English.",4,,,,,machine_reviewed,,
EX15,gastrointestinal,URGENT,,,first,yes,,utterance,,I am vomiting a lot and I feel very weak.,new_draft,medium,ok,"PARITY CORRECTION, toward the patient's report. v1 English said 'vomiting and signs of dehydration'; the Kinyarwanda never said dehydration, and the speaker's rewrite confirms it — 'ndaruka cyane kandi numva mfite intege nke', I vomit a lot and I feel I have little strength. Dehydration is the clinician's conclusion from the sign; weakness is the sign. French and Swahili carry the same error and must move with this. needs_clinician cleared: the parity question is now answered by the ruling, and nothing clinical is left open on this row.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX15,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} is vomiting a lot and feels very weak.,new_draft,medium,ok,"person transform of the first, matching the speaker's third 'araruka cyane kandi yumva afite intege nke'. No possessive, so no gendered pronoun is needed here.",4,,,,,machine_reviewed,,
GI05,gastrointestinal,URGENT,blood in the stool,IMCI: blood in stool -> DYSENTERY,first,yes,,utterance,,I have blood in my stool.,new_draft,medium,ok,"gloss 'blood in the stool'. FLAG, a lexical divergence rather than a concept one: the speaker's phrase is 'Mfite impiswi zirimo amaraso.' — DIARRHOEA with blood in it, not stool — because no stool noun is attested for them. English follows the gloss. The difference is a Kinyarwanda vocabulary constraint, not a choice, so it should not be propagated into English the way a genuine parity difference would be. If the outreach reply supplies a stool word, the Kinyarwanda may narrow to match.",4,'stool' as a patient word. The speaker's Kinyarwanda avoids the noun entirely — no stool word is attested for them — so there is no phrase to check the register against.,,,"draft D085 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI05,gastrointestinal,URGENT,blood in the stool,IMCI: blood in stool -> DYSENTERY,third,yes,,utterance,ALL_RELATIONS,{REL} has blood in their stool.,new_draft,medium,ok,matches the shape of '{REL} afite impiswi zirimo amaraso.' with the same stool/diarrhoea flag as the first person.,4,'stool' as a patient word. The speaker's Kinyarwanda avoids the noun entirely — no stool word is attested for them — so there is no phrase to check the register against.,,,,machine_reviewed,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,first,yes,,utterance,,I have had diarrhoea for more than two weeks.,new_draft,medium,ok,"gloss 'diarrhoea lasting more than fourteen days'. Matches 'Maze ibyumweru birenga bibiri ndwaye impiswi.' Two weeks is the axis against EX12's three days; both carry their own duration and both collide with the ONSET slot. Note the Kinyarwanda shares a 30-character head with CR06 ('Maze ibyumweru birenga bibiri ...'), which the old prefix rule unioned and the subsequence rule correctly does not.",4,,,,"draft D087 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,third,yes,,utterance,ALL_RELATIONS,{REL} has had diarrhoea for more than two weeks.,new_draft,medium,ok,matches '{REL} amaze ibyumweru birenga bibiri arwaye impiswi.',4,,,,,machine_reviewed,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have severe pain in my stomach that will not go away.,new_draft,medium,ok,"gloss 'severe abdominal pain that will not settle'. Matches 'Inda irandya cyane kandi ububabare ntibuhagarara.' Worded so EX14 is not inside it — see EX14's note, and the duplicate flag there.",4,,,,"draft D089 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} has severe pain in the stomach that will not go away.,new_draft,medium,ok,matches '{REL} arababara cyane mu nda kandi ububabare ntibuhagarara.' 'The stomach' rather than 'their stomach' so EX14 third is not a subsequence of it — the possessive would have made it one.,4,,,,,machine_reviewed,,
EX16,gastrointestinal,ROUTINE,,,first,yes,,utterance,,After I eat my stomach does not feel right.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'iyo maze kurya numva inda itameze neza'. SECOND PHRASING AVAILABLE, unlike EX22's: the speaker's Kinyarwanda second phrasing is filled here ('iyo maze kurya numva mu nda ntameze neza', EX17's wording kept through the collapse). The English equivalent would be 'After I eat I do not feel well in my stomach' — proposed, not written into second_phrasing_optional, which is the reviewer's column.",4,,,,"EX17 collapsed into this concept. Its English text was 'slight stomach pain that is not severe' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | GI08 collapsed into this concept. Its English text was 'a mild stomach upset after eating' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX16,gastrointestinal,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,After {REL} eats their stomach does not feel right.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'Iyo {REL} amaze kurya, yumva inda itameze neza.' CHILD_RELATIONS by ruling. {REL} is not the first word, the same shape the speaker used.",4,,,,,machine_reviewed,,
EX17,gastrointestinal,ROUTINE,,,first,no,,utterance,,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | v1 English dropped (collapsed into EX16): 'slight stomach pain that is not severe'. Recorded so the drop is visible, not silent.",,,
EX17,gastrointestinal,ROUTINE,,,third,no,,utterance,ALL_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D091 dropped (collapsed into EX16): 'a mild stomach upset after eating'. Recorded so the drop is visible, not silent.",,,
EX18,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,I am bleeding heavily and it will not stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'ndi kuva amaraso menshi kandi ntahagarara'. WORDED APART FROM EX20 ON PURPOSE — the Kinyarwanda pair is an ordered-subsequence union (EX18 is every word of EX20, in order), one of the five multi-concept groups in review/kinyarwanda-phrase-group-collisions.md. English does not inherit it: EX20 leads with the nose rather than with the bleeding, so neither phrase is a subsequence of the other.",4,,,,"HT01 collapsed into this concept. Its English text was 'bleeding that will not stop even with pressure' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX18,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} is bleeding heavily and it will not stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} ari kuva amaraso menshi kandi ntahagarara.',4,,,,,machine_reviewed,,
EX19,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,I have a deep wound that is bleeding a lot.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'mfite igikomere gikomeye kirimo kuva amaraso menshi'. Kept clear of HT02, which is the other deep-wound concept.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX19,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} has a deep wound that is bleeding a lot.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} afite igikomere gikomeye kirimo kuva amaraso menshi.',4,,,,,machine_reviewed,,
EX20,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,My nose is bleeding and it will not stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'ndi kuva amaraso menshi mu mazuru kandi ntahagarara'. Leads with the nose so EX18 is not a subsequence of it — see EX18's note. The Kinyarwanda equivalent restates the whole of EX18 and then adds 'mu mazuru', which is what joins them.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX20,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL}'s nose is bleeding and it will not stop.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} ari kuva amaraso menshi mu mazuru kandi ntahagarara.' Same separation from EX18 as the first person.,4,,,,,machine_reviewed,,
EX21,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,I have a wound on my head after a fall.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'mfite igikomere ku mutwe nyuma yo kugwa'. Distinct from HT03, which adds vomiting and confusion.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX21,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} has a wound on their head after a fall.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} afite igikomere ku mutwe nyuma yo kugwa.' Singular 'their' per the ruling.,4,,,,,machine_reviewed,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D093 dropped (collapsed into EX18): 'bleeding that will not stop even with pressure'. Recorded so the drop is visible, not silent.",,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,BEC Module 2: approach to trauma,first,yes,,utterance,,I have a deep wound and the bone is showing.,new_draft,medium,ok,"gloss 'deep wound with bone visible'. Matches 'Mfite igikomere gikomeye ku buryo igufa rigaragara.' FLAG: HT02 and HT05 cite a byte-identical anchor ('BEC Module 2: approach to trauma') while carrying different urgency labels — CRITICAL against URGENT. Probably a coarse module-level anchor covering two real presentations rather than a duplicate, but it is unruled. Replaces sheet draft 'a deep wound and I can see the bone'.",4,,,,"draft D095 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,BEC Module 2: approach to trauma,third,yes,,utterance,ALL_RELATIONS,{REL} has a deep wound and the bone is showing.,new_draft,medium,ok,matches '{REL} afite igikomere gikomeye ku buryo igufa rigaragara.',4,,,,,machine_reviewed,,
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,BEC Module 2: trauma + Module 5: altered mental status,first,yes,,utterance,,hit my head and now I am vomiting and confused,sheet_draft,unreviewed,,,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D097 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,BEC Module 2: trauma + Module 5: altered mental status,third,yes,,utterance,ALL_RELATIONS,{REL} hit their head and is now vomiting and confused.,new_draft,medium,ok,"gloss 'head injury with vomiting and confusion'. THIRD PERSON ONLY — the Kinyarwanda hold is on the FIRST person and turns on whether a confused patient can report their own confusion, which is rule 11's question and clinical. An observer reporting it has no such problem, so the third is not held in either language. Kinyarwanda is unauthored for both persons here, so this is drafted from the gloss.",4,,,,,machine_reviewed,,
HT04,haemorrhage_trauma,CRITICAL,large burn,BEC Module 2: approach to trauma (burns),first,yes,,utterance,,I have a large burn on my body.,new_draft,medium,ok,"gloss 'large burn'. Matches 'Mfite ubushye bunini ku mubiri.' The extent of the burn is what makes it CRITICAL and 'large' is as far as a patient's report goes — percentage body surface is the clinician's measure, not the report.",4,,,,"draft D099 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT04,haemorrhage_trauma,CRITICAL,large burn,BEC Module 2: approach to trauma (burns),third,yes,,utterance,ALL_RELATIONS,{REL} has a large burn on their body.,new_draft,medium,ok,matches '{REL} afite ubushye bunini ku mubiri.',4,,,,,machine_reviewed,,
EX22,haemorrhage_trauma,URGENT,,,first,yes,,utterance,,"I have an infected wound, it is red and there is pus.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'mfite igikomere cyanduye, kiratukura kandi kirimo amashyira'. FLAG: HT06 collapsed into this concept with the ruling that the swollen wording be kept as a second phrasing, and that slot is still empty in Kinyarwanda pending the speaker. The English second phrasing cannot be written before theirs, or it would be inventing the wording the ruling reserved for them.",3,"'infected' is a diagnosis, not an observation. A patient sees red, swollen and pus and infers the rest.",,,"HT06 collapsed into this concept. Its English text was 'a wound that is red, swollen and leaking pus' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX22,haemorrhage_trauma,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"{REL} has an infected wound, it is red and there is pus.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches '{REL} afite igikomere cyanduye, kiratukura kandi kirimo amashyira.'",3,"'infected' is a diagnosis, not an observation. A patient sees red, swollen and pus and infers the rest.",,,,machine_reviewed,,
EX23,haemorrhage_trauma,URGENT,,,first,yes,,utterance,,I fell and now I am in a lot of pain.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'naraguye none ndababara cyane'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX23,haemorrhage_trauma,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} fell and is now in a lot of pain.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} yaraguye none arababara cyane.',4,,,,,machine_reviewed,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,BEC Module 2: approach to trauma,first,yes,,utterance,,I fell and my arm is bent out of shape.,new_draft,low,ok,"HOLD KEPT, REASON NARROWED. The Kinyarwanda hold is vocabulary-blocked — no attested word for a deformed limb exists in any source, and only the FRACTURE vocabulary is attested, which is why the Kinyarwanda draft says BROKEN while the gloss says DEFORMED. English has no lexical gap, so the wording is available. But the block has a CONCEPT consequence the lift cannot ignore: section 7 says the alternative is ruling that the concept becomes 'broken limb after a fall', in which case the gloss and the anchor change with it. Drafted to the gloss as it stands; if the concept is re-ruled to a fracture, this English must move with it or it becomes the EX43 shape — two languages describing different presentations under one id.",,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D101 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,BEC Module 2: approach to trauma,third,yes,,utterance,ALL_RELATIONS,{REL} fell and their arm is bent out of shape.,new_draft,low,ok,person transform; held for the same concept question as the first.,,,,,,,,yes
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D103 dropped (collapsed into EX22): 'a wound that is red, swollen and leaking pus'. Recorded so the drop is visible, not silent.",,,
HT07,haemorrhage_trauma,URGENT,snake bite,BEC Module 2: trauma (snake bite),first,yes,,utterance,,I have been bitten by a snake.,new_draft,medium,ok,"gloss 'snake bite'. Matches 'Narumwe n'inzoka.' Short because the concept is exactly that one fact, as the speaker's own phrase is.",4,,,,"draft D105 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT07,haemorrhage_trauma,URGENT,snake bite,BEC Module 2: trauma (snake bite),third,yes,,utterance,ALL_RELATIONS,{REL} has been bitten by a snake.,new_draft,medium,ok,matches '{REL} yarumwe n'inzoka.',4,,,,,machine_reviewed,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have a small cut and the bleeding has stopped.,new_draft,medium,ok,"gloss 'small cut, bleeding stopped'. Matches 'Mfite igikomere gito kandi amaraso yarahagaze.' This is the phrase docs/urgency-frame-coupling.md uses as its worked example of a ROUTINE row contradicted by its frame — '...and the bleeding has stopped and I cannot sleep. I need help quickly.' The phrase is right; the frame slots are what that document is about.",4,,,,"draft D107 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,CHILD_RELATIONS,{REL} has a small cut and the bleeding has stopped.,new_draft,medium,ok,matches '{REL} afite igikomere gito kandi amaraso yarahagaze.' CHILD_RELATIONS by ruling.,4,,,,,machine_reviewed,,
IF01,infectious_fever,CRITICAL,fever with stiff neck,IMCI: stiff neck -> VERY SEVERE FEBRILE DISEASE,first,yes,,utterance,,I have a fever and my neck is stiff.,new_draft,medium,ok,"HOLD LIFTED — the Kinyarwanda hold is on an unvalidated draft word, not on the concept: ''ijosi ryarakomeye' is an unvalidated draft, not speaker wording. Do not substitute a guess.' The CONCEPT is settled — IMCI stiff neck, VERY SEVERE FEBRILE DISEASE — and English has ordinary wording for it. Fourth in the series after PA08, CR05 and GI03.",4,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D063 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,INHERITED — restate in English terms during the domain pass,
IF01,infectious_fever,CRITICAL,fever with stiff neck,IMCI: stiff neck -> VERY SEVERE FEBRILE DISEASE,third,yes,,utterance,ALL_RELATIONS,{REL} has a fever and their neck is stiff.,new_draft,medium,ok,"HOLD LIFTED. The Kinyarwanda third was held only because its first was ('drafting the third would transform a guess'), which does not apply once the English first is not a guess.",4,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
IF02,infectious_fever,CRITICAL,fever with convulsions,IMCI: convulsions -> VERY SEVERE FEBRILE DISEASE,first,yes,,utterance,,I have a high fever and I have had a fit.,new_draft,medium,ok,"ANCHOR CORRECTED 2026-09-05 in concept_anchors.csv: 'IMCI general danger sign: convulsions' -> 'IMCI: convulsions -> VERY SEVERE FEBRILE DISEASE'. This brings IF02 into line with its siblings (IF01 stiff neck, IF05 generalised rash), which all anchor to what fever-plus-the-sign classifies as, and it RECORDS THE FEVER AXIS separating IF02 from EX33 so the next duplicate survey does not re-open the question. It also dissolved the byte-identical anchor collision with PA01 independently of PA01's collapse.",4,'a fit' — see OB01.,,,"draft D065 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
IF02,infectious_fever,CRITICAL,fever with convulsions,IMCI: convulsions -> VERY SEVERE FEBRILE DISEASE,third,yes,,utterance,ALL_RELATIONS,{REL} has a high fever and has had a fit.,new_draft,medium,ok,"person transform of the first, matching '{REL} afite umuriro mwinshi kandi yaragagaye.' ALL_RELATIONS: the first person is authored too, so an adult reporting their own fit is in scope and the concept is not child-only.",4,'a fit' — see OB01.,,,,machine_reviewed,,
IF03,infectious_fever,CRITICAL,fever and unable to drink,IMCI general danger sign: not able to drink or breastfeed,first,yes,,utterance,,I have a fever and I cannot drink anything.,new_draft,medium,ok,"HOLD LIFTED, same ground. IMCI general danger sign, not able to drink. The Kinyarwanda note says 'precision matters. Draft held as-is pending clinician confirmation; no alternative invented' — the precision at risk is the Kinyarwanda wording's, and 'cannot drink anything' is the sign as IMCI states it. Note the axis against PA02, which takes the breastfeeding limb of the same anchor.",4,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D067 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,INHERITED — restate in English terms during the domain pass,
IF03,infectious_fever,CRITICAL,fever and unable to drink,IMCI general danger sign: not able to drink or breastfeed,third,yes,,utterance,ALL_RELATIONS,{REL} has a fever and cannot drink anything.,new_draft,medium,ok,"HOLD LIFTED, as IF01 third.",4,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
