concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_french,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_french_check,agreement_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
EX11,chronic_care,ROUTINE,,,third,no,"applies=no 2026-09-04. Ruled NO_RELATIONS in routine_relation_sets.csv — nobody presents on another's behalf for a refill or a routine review — so no third person exists. Left open it would have been offered for authoring by walk.py, producing a row that cannot generate: the PR02 failure shape, a ruling recorded where no code path reads it. The first-person row is untouched; NO_RELATIONS is a restriction, not a deletion.",utterance,NO_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX12,gastrointestinal,URGENT,,,first,yes,,utterance,,J'ai une diarrhee severe depuis trois jours.,new_draft,medium,unverified: no gloss,"v1 text as an utterance. Carries its own duration, so it joins CR06 and GI06 on the ONSET collision list. The duration cannot be dropped here either: three days against GI06's two weeks is the axis between the two concepts.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX12,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une diarrhee severe depuis trois jours.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX13,gastrointestinal,URGENT,,,first,yes,,utterance,,Je vomis sans arret et je ne peux pas manger.,new_draft,medium,unverified: no gloss,"A PARITY GAP THAT CLOSED FROM THE KINYARWANDA SIDE, so the correction v1-cross-language-parity.md anticipated is NOT made. That document lists EX13 among seven positions where en/fr/sw claim more than the Kinyarwanda: v1 said 'kuruka kenshi kandi SINDYA' — I do not eat — against a French 'je ne peux pas manger'. The speaker's rewrite is 'ndakomeza kuruka kandi SINSHOBORA kurya', cannot eat. The Kinyarwanda moved to what the other three already said, so the French stands as it is. Verified against the first brief's original_corpus_phrase, not inferred.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX13,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} vomit sans arret et ne peut pas manger.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX14,gastrointestinal,URGENT,,,first,yes,,utterance,,J'ai de fortes douleurs au ventre.,new_draft,medium,unverified: no gloss,v1 text with the subject folded in.,4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX14,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a de fortes douleurs au ventre.,new_draft,medium,unverified: no gloss,"Checked against GI07 third through the real splitter rule: no union either way. In Kinyarwanda EX14 sits WHOLE inside GI07 ('inda irandya cyane' inside 'Inda irandya cyane kandi ububabare ntibuhagarara.') and also inside EX38; French inherits neither, because 'de fortes douleurs' and 'une douleur tres forte' are different strings. GI07 needed no contortion in French, unlike English, which had to say 'the stomach' rather than 'their stomach'.",4,,,,,,machine_reviewed,,
EX15,gastrointestinal,URGENT,,,first,yes,,utterance,,Je vomis beaucoup et je me sens tres faible.,new_draft,medium,unverified: no gloss,"PARITY CORRECTION, owed and now paid. v1 French was 'des vomissements et des signes de DESHYDRATATION'; the speaker says weakness in both v1 and v2 ('kuruka no gucika intege bikabije' -> 'ndaruka cyane kandi numva mfite intege nke') and never says dehydration. v1-cross-language-parity.md rates this KY-not-equal-others at high confidence. 'faible' is epicene, so the fix is also FR-1 clean without effort.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX15,gastrointestinal,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} vomit beaucoup et se sent tres faible.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX16,gastrointestinal,ROUTINE,,,first,yes,,utterance,,"Quand j'ai fini de manger, mon ventre ne va pas bien.",new_draft,medium,unverified: no gloss,"v1 'une gene legere a l'estomac apres avoir mange', restructured to the speaker's 'iyo maze kurya' conditional and down-registered from 'gene a l'estomac'. SECOND PHRASING IS AVAILABLE HERE AND ONLY HERE: EX16 first is the one row in the spine whose second_phrasing_optional is filled, with EX17's surviving wording. The French equivalent would be 'Apres avoir mange, j'ai un petit mal de ventre.' — GI08's dropped text, which is the other concept that collapsed into EX16. PROPOSED IN THIS NOTE, NOT WRITTEN: second_phrasing_optional is the reviewer's column.",3,'mon ventre ne va pas bien' for mild indigestion. Confirm the register.,,,,"EX17 collapsed into this concept. Its French text was 'une legere douleur au ventre sans gravite' — consider it for second_phrasing_optional rather than letting it drop, where the Kinyarwanda kept both wordings. | GI08 collapsed into this concept. Its French text was 'un petit mal de ventre apres avoir mange' — consider it for second_phrasing_optional rather than letting it drop, where the Kinyarwanda kept both wordings. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX16,gastrointestinal,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,"Quand {REL} a fini de manger, son ventre ne va pas bien.",new_draft,medium,unverified: no gloss,"'son ventre' is FR-2 — the possessive agrees with 'ventre', so one form covers all five CHILD_RELATIONS.",3,Same.,,,,,machine_reviewed,,
EX17,gastrointestinal,ROUTINE,,,first,no,,utterance,,,dropped,,,,,,,,,"applies=no inherited from the Kinyarwanda brief | v1 French dropped (collapsed into EX16): 'une legere douleur au ventre sans gravite'. Recorded so the drop is visible, not silent.",,,
EX17,gastrointestinal,ROUTINE,,,third,no,,utterance,ALL_RELATIONS,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,first,yes,,utterance,,Je vomis tout ce que je mange et je ne peux meme pas boire.,new_draft,medium,ok,"Sheet draft D078 as an utterance, following 'Ndaruka ibyo ndya byose kandi sinshobora no kunywa.'",4,,,,,"draft D078 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,third,yes,,utterance,ALL_RELATIONS,{REL} vomit toute la nourriture et ne peut meme pas boire.,new_draft,medium,ok,"FR-1, THIRD SUB-CASE, AND THE ONE WITH NO FREE FIX. The faithful third person is 'vomit tout ce qu'il mange', and a relative clause whose subject is {REL} forces 'il' or 'elle' — a gender English answers with singular 'they' and French cannot answer at all. Rewritten to 'toute la nourriture', which drops the relative clause and keeps the claim. This is the first place French pays a real cost for the person split, and it is the same shape as the Kinyarwanda object-marker problem that holds CR01 and CR05: the third person is not obtainable from the first by substitution.",3,"FR-1 CASUALTY, and the clearest one. The faithful third is 'vomit tout ce qu'il mange', which forces a gender across a mixed relation set, so the relative clause was dropped for 'toute la nourriture'. Confirm that reads naturally; if a francophone reviewer has a better neutral form, this row wants it. Compare OB10 third, where the same clause SURVIVES because the obstetric relations are uniformly feminine.",,,,,machine_reviewed,,
GI02,gastrointestinal,CRITICAL,vomiting blood,BEC Module 4: approach to shock (haemorrhage),first,yes,,utterance,,Je vomis du sang.,new_draft,medium,ok,"Sheet draft D080, unchanged bar the stop. Among the shortest phrases in the inventory, so it is on the grouping check's watch list; measured against GI01, EX13 and EX15 in both persons, no union.",4,,,,,"draft D080 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI02,gastrointestinal,CRITICAL,vomiting blood,BEC Module 4: approach to shock (haemorrhage),third,yes,,utterance,ALL_RELATIONS,{REL} vomit du sang.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
GI03,gastrointestinal,CRITICAL,black tarry stool,BEC Module 4: approach to shock (occult GI bleeding),first,yes,,utterance,,Mes selles sont noires comme du goudron.,new_draft,medium,ok,"'noires' agrees with 'selles', a fixed feminine plural, so FR-1 is satisfied by the natural wording. The speaker's 'Mfite umwanda usa umukara.' was the last of the four vocabulary blocks to close and took a speaker to settle — three attested candidates were ranked and all three rankings were wrong. French has no such gap and this row was never really blocked here.",4,"'les selles' for stool. SAME QUESTION IN ALL THREE LANGUAGES — the Kinyarwanda took a speaker to settle after three attested candidates were ranked wrongly, and the English flags it too. Is 'les selles' the patient word in Rwandan French, or is it clinical, and is there a plainer alternative?",,,,"draft D082 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI03,gastrointestinal,CRITICAL,black tarry stool,BEC Module 4: approach to shock (occult GI bleeding),third,yes,,utterance,ALL_RELATIONS,Les selles de {REL} sont noires comme du goudron.,new_draft,medium,ok,"Hold lifted. The reason is recorded on the row itself and in french-review-pass.md; this batch exists because a hold has to be lifted explicitly, not by an empty cell.",4,Same stool question.,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,IMCI: SEVERE DEHYDRATION,first,no,,utterance,,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,IMCI: SEVERE DEHYDRATION,third,yes,,utterance,ALL_RELATIONS,{REL} a une diarrhee severe et se deshydrate.,new_draft,medium,ok,"REDRAFTED AWAY FROM SHEET DRAFT D084, which said 'une diarrhee liquide avec les yeux enfonces et la peau qui reste plissee'. Neither the gloss ('severe diarrhoea with dehydration') nor the speaker's '{REL} afite impiswi zikomeye kandi yagize umwuma' names sunken eyes or a skin pinch — those are IMCI assessment findings a clinician elicits, not what a carer walks in saying, and rule 11's observer limb is about what is directly perceived. FR-1: 'se deshydrate' is a present-tense reflexive and takes no agreement, where 'est deshydrate' would have. The first person is applies=no on the spine and is not drafted.",3,"'se deshydrate' — a present-tense reflexive, chosen because 'est deshydrate' agrees. Confirm it is not clinical register for a carer.",,,,"draft D084 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed. Written in carer voice already; needs {REL} substituted for the relation before it can expand.",machine_reviewed,,
GI05,gastrointestinal,URGENT,blood in the stool,IMCI: blood in stool -> DYSENTERY,first,yes,,utterance,,J'ai du sang dans les selles.,new_draft,medium,ok,"FOLLOWS THE GLOSS, NOT THE KINYARWANDA, and the English arm's reason holds unchanged. The speaker's 'Mfite impiswi zirimo amaraso.' says blood in the DIARRHOEA rather than in the stool, because the stool noun was unavailable to them at the time — GI03 has since closed that block with 'umwanda'. A vocabulary constraint is not a finding about how patients speak and should not be propagated into a language that has the word.",4,"Same stool question, and this row follows the GLOSS rather than the speaker's phrase, which says blood in the DIARRHOEA. Confirm the French says what a patient reports.",,,,"draft D086 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI05,gastrointestinal,URGENT,blood in the stool,IMCI: blood in stool -> DYSENTERY,third,yes,,utterance,ALL_RELATIONS,{REL} a du sang dans les selles.,new_draft,medium,ok,,4,Same.,,,,,machine_reviewed,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,first,yes,,utterance,,J'ai la diarrhee depuis plus de deux semaines.,new_draft,medium,ok,"Third of the three duration-carrying phrases, with CR06 and EX12. Two weeks against EX12's three days is the axis, so the duration stays and the ONSET collision stays with it.",4,,,,,"draft D088 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,third,yes,,utterance,ALL_RELATIONS,{REL} a la diarrhee depuis plus de deux semaines.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,J'ai une douleur tres forte au ventre et elle ne passe pas.,new_draft,medium,ok,Sheet draft D090 as an utterance.,4,,,,,"draft D090 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} a une douleur tres forte au ventre et elle ne passe pas.,new_draft,medium,ok,"Keeps the possessive-free 'au ventre' that French uses naturally here, so no wording-apart was needed against EX14 — see the note there.",4,,,,,,machine_reviewed,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,,first,no,,utterance,,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
GI08,gastrointestinal,ROUTINE,mild indigestion after eating,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D092 dropped (collapsed into EX16): 'un petit mal de ventre apres avoir mange'. Recorded so the drop is visible, not silent.",,,
EX18,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,Je saigne beaucoup et ca ne s'arrete pas.,new_draft,medium,unverified: no gloss,"v1 'un saignement abondant qui ne s'arrete pas', folded into an utterance. NO SECOND PHRASING: HT01's French ('un saignement qui ne s'arrete pas malgre la pression') is the wording its collapse ruling reserved for the speaker, and the Kinyarwanda second_phrasing slot here is empty. EX16 first is the only row in the spine that carries one. Proposing French text into a slot the speaker has not filled would invent it — the same reason English left EX22's alone.",4,,,,,"HT01 collapsed into this concept. Its French text was ""un saignement qui ne s'arrete pas malgre la pression"" — consider it for second_phrasing_optional rather than letting it drop, where the Kinyarwanda kept both wordings. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX18,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} saigne beaucoup et ca ne s'arrete pas.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX19,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,J'ai une plaie profonde qui saigne beaucoup.,new_draft,medium,unverified: no gloss,"v1 text with the subject folded in. 'profonde' and 'infectee' agree with 'plaie', a fixed feminine, so this whole domain's wound vocabulary is FR-1 safe by construction.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX19,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une plaie profonde qui saigne beaucoup.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX20,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,Mon nez saigne et ca ne s'arrete pas.,new_draft,medium,unverified: no gloss,"LEADS WITH THE NOSE, deliberately, and for the reason English did: in Kinyarwanda EX18 is every word of EX20 in order, so the two are one phrase group there. Measured here rather than assumed — the v1 French pair does not nest either way, so leading with the nose is belt and braces rather than the fix. It also mirrors the speaker's own 'Amazuru yanjye ...', which puts the nose in subject position, and the body-part subject is the FR-1 construction anyway. Note the Kinyarwanda noun changed on 2026-09-05 from 'amaraso' to 'imyuna' on a speaker's ruling; French has one word for a nosebleed and no equivalent choice to get wrong.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX20,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,Le nez de {REL} saigne et ca ne s'arrete pas.,new_draft,medium,unverified: no gloss,"Body part as subject, {REL} as possessor — matches '{REL} arimo kuva imyuna mu mazuru' and is FR-1 safe.",4,,,,,,machine_reviewed,,
EX21,haemorrhage_trauma,CRITICAL,,,first,yes,,utterance,,J'ai une blessure a la tete apres une chute.,new_draft,medium,unverified: no gloss,"v1 text, subject folded in, otherwise unchanged. v1-cross-language-parity.md records EX21 as the one position where ENGLISH is the outlier — it alone adds a 'bad' fall, while ki/fr/sw say only 'a fall'. So the French here is already the correct side of that split and is deliberately not aligned to the English.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX21,haemorrhage_trauma,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une blessure a la tete apres une chute.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX22,haemorrhage_trauma,URGENT,,,first,yes,,utterance,,"J'ai une plaie infectee, elle est rouge et il y a du pus.",new_draft,medium,unverified: no gloss,"v1 text as an utterance. NO SECOND PHRASING, same as EX18: HT06's French ('une plaie rouge, enflee et qui coule du pus') is reserved by its collapse ruling and the Kinyarwanda slot is empty.",4,,,,,"HT06 collapsed into this concept. Its French text was 'une plaie rouge, enflee et qui coule du pus' — consider it for second_phrasing_optional rather than letting it drop, where the Kinyarwanda kept both wordings. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX22,haemorrhage_trauma,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"{REL} a une plaie infectee, elle est rouge et il y a du pus.",new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX23,haemorrhage_trauma,URGENT,,,first,yes,,utterance,,J'ai fait une chute et maintenant j'ai tres mal.,new_draft,medium,unverified: no gloss,"FR-1: 'je suis tombe' would be masculine for a patient of unknown gender, so the fall is expressed with 'faire une chute', which takes no agreement. This construction is used again at HT05 and is the domain's main FR-1 workhorse.",4,"FR-1: 'je suis tombe' is masculine, so 'j'ai fait une chute' carries every fall in the corpus. Confirm it is not more formal than the speaker's plain 'naraguye'. Also at HT05.",,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX23,haemorrhage_trauma,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a fait une chute et a maintenant tres mal.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,,first,no,,utterance,,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
HT01,haemorrhage_trauma,CRITICAL,bleeding not controlled by pressure,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D094 dropped (collapsed into EX18): ""un saignement qui ne s'arrete pas malgre la pression"". Recorded so the drop is visible, not silent.",,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,BEC Module 2: approach to trauma,first,yes,,utterance,,J'ai une plaie profonde et on voit l'os.,new_draft,medium,ok,"FLAG CARRIED FORWARD from the English pass, unchanged and still unruled: HT02 and HT05 share the anchor 'BEC Module 2: approach to trauma' and disagree on urgency, CRITICAL against URGENT. It looks like a coarse module-level anchor over two real presentations, the CR02/CC04 shape. Not ruled here.",4,,,,,"draft D096 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,BEC Module 2: approach to trauma,third,yes,,utterance,ALL_RELATIONS,{REL} a une plaie profonde et on voit l'os.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,BEC Module 2: trauma + Module 5: altered mental status,first,yes,,utterance,,un coup a la tete puis des vomissements et de la confusion,sheet_draft,unreviewed,,"HELD, and the hold transfers unchanged. The Kinyarwanda reason is clinical, not lexical: whether a patient confused enough to be triaged this way can report their own confusion is rule 11's question, and it is the same question in French. Sheet draft D098 is left in place as the record of what is not accepted.",,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D098 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in French terms during the domain pass,yes
HT03,haemorrhage_trauma,CRITICAL,head injury with vomiting and confusion,BEC Module 2: trauma + Module 5: altered mental status,third,yes,,utterance,ALL_RELATIONS,"{REL} a recu un coup a la tete et, depuis, vomit et n'a plus les idees claires.",new_draft,medium,ok,"Drafted while the first stays held — an observer reporting confusion has none of the first person's problem, the same split English made here and at NE06 and CC01/CC02. FR-1 RULING WITH THREE MORE USES: 'confus' inflects, so it cannot sit in a {REL} phrase. The replacement is either the noun 'de la confusion' or the idiom 'ne plus avoir les idees claires'; the idiom is the better patient register and is used here, at NE06 and at CC02.",4,"FR-1: 'confus' inflects, so 'n'a plus les idees claires' replaces it here, at NE06 and at CC02. Confirm the idiom is right in all three and is not too colloquial for one of them.",,,,,machine_reviewed,,
HT04,haemorrhage_trauma,CRITICAL,large burn,BEC Module 2: approach to trauma (burns),first,yes,,utterance,,J'ai une brulure sur une grande partie du corps.,new_draft,medium,ok,"Sheet draft D100, subject folded in. 'brulure' is a noun, so nothing agrees.",4,,,,,"draft D100 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT04,haemorrhage_trauma,CRITICAL,large burn,BEC Module 2: approach to trauma (burns),third,yes,,utterance,ALL_RELATIONS,{REL} a une brulure sur une grande partie du corps.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,BEC Module 2: approach to trauma,first,yes,,utterance,,"J'ai fait une chute et ma jambe est tordue, mais je ne crois pas qu'elle soit cassee.",new_draft,medium,ok,"HOLD LIFTED BECAUSE THE SPEAKER AUTHORED IT ON 2026-09-05, not because French found a way round the block. The English brief still holds both HT05 rows and still says 'arm'; it is the stale record here. Three things follow the speaker's 'Naguye, ukuguru kuragoramye ariko sinumva ko kuvunitse.' rather than the English or sheet draft D102. It is the LEG, not the arm — the gloss says 'limb' and the speaker chose the leg. The phrase DISCLAIMS THE FRACTURE inside itself, which is rule 11's axis stated in Kinyarwanda: deformity is what a patient perceives, a fracture is the diagnosis. And 'chute' rather than 'je suis tombe' keeps it FR-1 clean, while 'tordue' and 'cassee' agree with 'jambe', a fixed feminine.",4,"Same 'faire une chute'. Also: this row follows the speaker in saying the LEG where the gloss says 'limb' and the English says 'arm', and it disclaims the fracture inside the phrase. Confirm 'ma jambe est tordue, mais je ne crois pas qu'elle soit cassee' is how a patient puts that.",,,,"draft D102 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,INHERITED — restate in French terms during the domain pass,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,BEC Module 2: approach to trauma,third,yes,,utterance,ALL_RELATIONS,"{REL} a fait une chute et sa jambe est tordue, mais elle ne semble pas cassee.",new_draft,medium,ok,"The Kinyarwanda third is not authored yet; drafted from the speaker's first, as English did before the first existed. 'sa jambe' is FR-2 and both participles agree with 'jambe'.",4,,,,,,machine_reviewed,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",,first,no,,utterance,,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D104 dropped (collapsed into EX22): 'une plaie rouge, enflee et qui coule du pus'. Recorded so the drop is visible, not silent.",,,
HT07,haemorrhage_trauma,URGENT,snake bite,BEC Module 2: trauma (snake bite),first,yes,,utterance,,Je me suis fait mordre par un serpent.,new_draft,medium,ok,"FR-1 REDRAFT, and the interesting one. Sheet draft D106 was 'mordu par un serpent' — masculine. The obvious repairs do not work: 'un serpent m'a mordu' agrees with the preceding direct object, and 'j'ai ete mordu' agrees with the subject, so both reintroduce the defect. 'se faire + infinitif' leaves the participle INVARIABLE and is ordinary patient speech. Worth keeping as the pattern for any passive-shaped event in this corpus.",4,"FR-1: 'un serpent m'a mordu' agrees with the preceding object and 'j'ai ete mordu' with the subject, so both are masculine for an unknown patient. 'Je me suis fait mordre par un serpent' leaves the participle invariable. Confirm it is ordinary patient speech and not a grammarian's dodge.",,,,"draft D106 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT07,haemorrhage_trauma,URGENT,snake bite,BEC Module 2: trauma (snake bite),third,yes,,utterance,ALL_RELATIONS,{REL} s'est fait mordre par un serpent.,new_draft,medium,ok,Same invariable 'fait'; one sentence covers all eight relations.,4,Same construction.,,,,,machine_reviewed,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,J'ai une petite coupure et le saignement s'est arrete.,new_draft,medium,ok,"Sheet draft D108 said 'qui ne saigne plus'; the speaker's 'amaraso yarahagaze' says the bleeding HAS STOPPED, which is the same claim more directly, and the English says it that way too. 's'est arrete' agrees with 'le saignement'.",4,,,,,"draft D108 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,CHILD_RELATIONS,{REL} a une petite coupure et le saignement s'est arrete.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
EX24,infectious_fever,URGENT,,,first,yes,,utterance,,J'ai une fievre de 39 degres.,new_draft,medium,unverified: no gloss,"v1 text, subject folded in.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX24,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une fievre de 39 degres.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX25,infectious_fever,URGENT,,,first,yes,,utterance,,J'ai une forte fievre et je tousse beaucoup.,new_draft,medium,unverified: no gloss,"PARITY, one of the five 'mixed' positions rather than one of the seven three-against-one. v1-cross-language-parity.md records that the Kinyarwanda puts the severity on BOTH the fever and the cough while en/fr/sw put it on the cough only; the speaker's v2 keeps both ('umuriro mwinshi kandi ndakorora cyane'). v1 French was 'de la fievre avec une mauvaise toux'. Aligned to the speaker. Cheap to fix and there was no reason not to.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX25,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une forte fievre et tousse beaucoup.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX26,infectious_fever,URGENT,,,first,yes,,utterance,,"J'ai des symptomes de paludisme, de la fievre et des frissons.",new_draft,medium,unverified: no gloss,"v1 text with a VERB ADDED, mirroring what the speaker did to this exact row on 2026-09-05. EX26's Kinyarwanda was a bare noun phrase declared form=utterance, so it rendered as a fragment with no main clause — the EX44-EX47 shape, in the one row of the 47 the speaker left byte-identical and so never revisited. The French v1 string has the same shape and needs the same 'J'ai'.",3,'paludisme' or 'malaria'? Both are used in Rwandan French and the corpus should pick one deliberately. Also at EX27. The phrase is list-shaped because it inherits the speaker's v1 wording.,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX26,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"{REL} a des symptomes de paludisme, de la fievre et des frissons.",new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
